year,stcd,inc,dv,dvp,fr,redist,dpres,incwin,inc3,decade,ptynow,cprescat,cexpx,split,state,midterm,preswin,south,iexpx
1946,1707,1,40.599998,52.599998,0,0,,0,1,40,1,0,,1,17,0,,0,
1946,1708,1,52.599998,54.400002,0,0,,1,1,40,1,0,,1,17,0,,0,
1946,1709,0,,31,0,0,,1,-1,40,-1,0,,1,17,0,,0,
1946,1801,1,91.800003,,0,0,,1,1,40,1,0,,1,18,0,,1,
1946,1802,2,90.699997,,9,0,,,0,40,1,,,1,18,0,,1,
1946,1803,1,,,0,0,,1,1,40,1,0,,1,18,0,,1,
1946,1804,1,,,0,0,,1,1,40,1,0,,1,18,0,,1,
1946,1805,2,,,9,0,,,0,40,1,,,1,18,0,,1,
1946,1806,1,,,0,0,,1,1,40,1,0,,1,18,0,,1,
1946,1807,1,,,1,0,,1,1,40,1,0,,1,18,0,,1,
1946,1808,1,,,0,0,,1,1,40,1,0,,1,18,0,,1,
1946,1901,0,40.400002,31.200001,0,0,,1,-1,40,-1,0,,1,19,0,,0,
1946,1902,0,39.299999,32.200001,0,0,,1,-1,40,-1,0,,1,19,0,,0,
1946,1903,0,27.1,22.1,0,0,,1,-1,40,-1,0,,1,19,0,,0,
1946,2001,1,49.099998,50.799999,1,0,,0,1,40,1,0,,1,20,0,,0,
1946,2002,2,52.400002,57,9,0,,,0,40,1,,,1,20,0,,0,
1946,2003,1,63.900002,73.5,0,0,,1,1,40,1,0,,1,20,0,,0,
1946,2004,1,57.200001,59.200001,1,0,,1,1,40,1,0,,1,20,0,,0,
1946,2005,1,58.200001,64.800003,0,0,,1,1,40,1,0,,1,20,0,,0,
1946,2006,0,41.900002,42.099998,0,0,,1,-1,40,-1,0,,1,20,0,,0,
1946,2101,0,43.900002,49.5,1,0,,1,-1,40,-1,0,,1,21,0,,0,
1946,2102,0,48.599998,44.299999,0,0,,1,-1,40,-1,0,,1,21,0,,0,
1946,2103,1,62.200001,61.5,0,0,,1,1,40,1,0,,1,21,0,,0,
1946,2104,0,50.5,44.5,0,0,,0,-1,40,-1,0,,1,21,0,,0,
