"county_fips","state","dem","gop","other"
"13217","GEORGIA",29794,23869,576
"13219","GEORGIA",8162,16595,411
"13221","GEORGIA",2436,5593,102
"13223","GEORGIA",29704,54525,1156
"13225","GEORGIA",5920,6502,123
"13227","GEORGIA",2808,14075,233
"13229","GEORGIA",1100,7899,49
"13231","GEORGIA",1505,9127,88
"13233","GEORGIA",3658,13589,152
"13235","GEORGIA",1217,2805,37
"13237","GEORGIA",3448,8291,116
"13239","GEORGIA",497,604,5
"13241","GEORGIA",1984,7474,110
"13243","GEORGIA",1671,1391,12
"13245","GEORGIA",59124,26781,1111
"13247","GEORGIA",31244,13012,430
"13249","GEORGIA",462,1800,13
"13251","GEORGIA",2661,3916,51
"13253","GEORGIA",1254,2611,19
"13255","GEORGIA",11784,18057,275
"13257","GEORGIA",2385,9368,132
"13259","GEORGIA",1182,801,7
"13261","GEORGIA",6318,5732,100
"13263","GEORGIA",2114,1392,16
"13265","GEORGIA",561,360,7
"13267","GEORGIA",2061,6053,69
"13269","GEORGIA",1387,2418,34
"13271","GEORGIA",1487,2825,21
"13273","GEORGIA",2376,2004,36
"13275","GEORGIA",8708,12954,191
"13277","GEORGIA",5322,10784,177
"13279","GEORGIA",2939,7872,103
"13281","GEORGIA",1550,6384,45
"13283","GEORGIA",952,2101,24
"13285","GEORGIA",11578,18143,328
"13287","GEORGIA",1410,2349,33
"13289","GEORGIA",2044,2370,30
"13291","GEORGIA",2801,12651,108
"13293","GEORGIA",4201,8608,96
"13295","GEORGIA",5769,23174,411
"13297","GEORGIA",12682,37842,571
"13299","GEORGIA",4211,9865,116
"13301","GEORGIA",1469,1166,16
"13303","GEORGIA",4730,4663,66
"13305","GEORGIA",2687,9987,104
"13307","GEORGIA",639,748,3
"13309","GEORGIA",689,1583,13
"13311","GEORGIA",2411,12222,183
"13313","GEORGIA",10670,25636,440
"13315","GEORGIA",862,2403,16
"13317","GEORGIA",2160,2823,46
"13319","GEORGIA",2075,2664,31
"13321","GEORGIA",2395,6830,60
"15001","HAWAII",58731,26897,2186
"15003","HAWAII",238866,136250,6986
"15007","HAWAII",21225,11582,690
"15009","HAWAII",47305,22126,1613
"16001","IDAHO",120539,130699,8151
"16003","IDAHO",591,1941,54
"16005","IDAHO",14682,23331,1540
"16007","IDAHO",350,2914,51
"16009","IDAHO",977,3878,118
"16011","IDAHO",4124,15295,577
"16013","IDAHO",8919,4032,338
"16015","IDAHO",1204,3485,131
"16017","IDAHO",8310,18369,656
"16019","IDAHO",14254,37805,1936
"16021","IDAHO",1220,4937,156
"16023","IDAHO",188,1202,25
"16025","IDAHO",149,507,98
"16027","IDAHO",25881,61759,2770
"16029","IDAHO",431,2906,79
"16031","IDAHO",1464,7907,258
"16033","IDAHO",41,264,6
"16035","IDAHO",877,3453,89
"16037","IDAHO",603,2089,47
"16039","IDAHO",2601,7246,358
"16041","IDAHO",657,5845,162
"16043","IDAHO",998,5548,173
"16045","IDAHO",1803,7951,204
"16047","IDAHO",1256,4659,135
"16049","IDAHO",1561,7826,215
"16051","IDAHO",1661,12099,413
"16053","IDAHO",1893,5734,185
"16055","IDAHO",24312,62837,2318
"16057","IDAHO",10236,9472,862
"16059","IDAHO",1032,3592,114
"16061","IDAHO",349,1489,32
"16063","IDAHO",414,1469,57
"16065","IDAHO",2666,13559,887
"16067","IDAHO",1550,6265,178
"16069","IDAHO",6686,13738,543
"16071","IDAHO",249,2148,54
"16073","IDAHO",816,3819,107
"16075","IDAHO",2161,8862,270
"16077","IDAHO",865,2116,93
"16079","IDAHO",1693,4216,140
"16081","IDAHO",3318,2858,171
"16083","IDAHO",9391,25897,1213
"16085","IDAHO",2976,3947,140
"16087","IDAHO",1073,4154,117
"17001","ILLINOIS",8633,24220,674
"17003","ILLINOIS",1114,1486,18
"17005","ILLINOIS",2288,5625,232
"17007","ILLINOIS",10542,13883,554
"17009","ILLINOIS",486,1931,104
"17011","ILLINOIS",6669,10411,354
"17013","ILLINOIS",677,2046,49
"17015","ILLINOIS",2748,5105,171
"17017","ILLINOIS",1615,3625,77
"17019","ILLINOIS",57067,35285,2790
"17021","ILLINOIS",4335,11563,306
"17023","ILLINOIS",1993,6226,137
"17025","ILLINOIS",1129,5629,128
"17027","ILLINOIS",4493,14304,373
"17029","ILLINOIS",8067,14037,502
"17031","ILLINOIS",1725973,558269,37244
"17033","ILLINOIS",2202,7043,180
"17035","ILLINOIS",1142,4601,89
"17037","ILLINOIS",24643,21905,1277
"17039","ILLINOIS",2191,5632,201
"17041","ILLINOIS",2335,6227,176
"17043","ILLINOIS",281222,193611,10271
"17045","ILLINOIS",1887,6193,116
"17047","ILLINOIS",488,2833,45
"17049","ILLINOIS",3716,15006,327
"17051","ILLINOIS",1826,8055,175
"17053","ILLINOIS",1754,5048,151
"17055","ILLINOIS",4760,13622,244
"17057","ILLINOIS",6503,9867,308
"17059","ILLINOIS",622,2019,33
"17061","ILLINOIS",1349,4770,108
"17063","ILLINOIS",9626,16523,542
"17065","ILLINOIS",824,3432,59
"17067","ILLINOIS",2315,6906,162
"17069","ILLINOIS",449,1691,22
"17071","ILLINOIS",1187,2394,66
"17073","ILLINOIS",9797,15300,538
"17075","ILLINOIS",2908,10877,240
"17077","ILLINOIS",11181,10890,572
"17079","ILLINOIS",1007,4494,75
"17081","ILLINOIS",4608,12476,320
"17083","ILLINOIS",2961,8712,264
"17085","ILLINOIS",5109,7166,221
"17087","ILLINOIS",1281,5059,97
"17089","ILLINOIS",130166,96775,4935
"17091","ILLINOIS",20271,28532,1099
"17093","ILLINOIS",33168,29492,1314
"17095","ILLINOIS",10703,12009,431
"17097","ILLINOIS",204032,123594,6551
"17099","ILLINOIS",22442,30113,1036
"17101","ILLINOIS",1419,4886,106
"17103","ILLINOIS",6407,9630,360
"17105","ILLINOIS",4615,12208,351
"17107","ILLINOIS",3840,9136,318
"17109","ILLINOIS",4992,7027,266
"17111","ILLINOIS",78154,82260,3465
"17113","ILLINOIS",43933,40502,2567
"17115","ILLINOIS",19847,28589,954
"17117","ILLINOIS",7365,16153,504
"17119","ILLINOIS",57836,76031,3272
"17121","ILLINOIS",4524,12678,256
"17123","ILLINOIS",2005,4197,132
"17125","ILLINOIS",1985,4654,127
"17127","ILLINOIS",1725,4997,91
"17129","ILLINOIS",2022,4764,142
"17131","ILLINOIS",3280,5418,195
"17133","ILLINOIS",6569,14142,437
"17135","ILLINOIS",3905,9544,278
"17137","ILLINOIS",5076,9950,283
"17139","ILLINOIS",1662,4964,118
"17141","ILLINOIS",9428,16248,596
"17143","ILLINOIS",43578,38252,2143
"17145","ILLINOIS",2612,7313,128
"17147","ILLINOIS",3329,6248,245
"17149","ILLINOIS",1484,6332,133
"17151","ILLINOIS",433,1722,20
"17153","ILLINOIS",891,1699,34
"17155","ILLINOIS",1338,1993,59
"17157","ILLINOIS",3592,11076,223
"17159","ILLINOIS",1830,6089,144
"17161","ILLINOIS",36691,28603,1464
"17163","ILLINOIS",68325,57150,2616
"17165","ILLINOIS",2789,8103,174
"17167","ILLINOIS",48917,53485,2350
"17169","ILLINOIS",1068,2773,65
"17171","ILLINOIS",572,2114,51
"17173","ILLINOIS",2504,9426,167
"17175","ILLINOIS",815,2004,64
"17177","ILLINOIS",9055,12521,472
"17179","ILLINOIS",24819,42513,1720
"17181","ILLINOIS",2579,6161,146
"17183","ILLINOIS",10323,20725,536
"17185","ILLINOIS",1253,4237,103
"17187","ILLINOIS",3090,4676,143
"17189","ILLINOIS",1641,6115,146
"17191","ILLINOIS",1187,7176,123
"17193","ILLINOIS",1517,5791,113
"17195","ILLINOIS",12253,14527,595
"17197","ILLINOIS",183915,155116,6074
"17199","ILLINOIS",10206,22801,646
"17201","ILLINOIS",64056,60861,2792
"17203","ILLINOIS",6160,14799,473
"18001","INDIANA",3236,10686,287
"18003","INDIANA",73189,92083,3810
"18005","INDIANA",12934,22410,891
"18007","INDIANA",1009,3007,98
"18009","INDIANA",1376,3841,134
"18011","INDIANA",15244,22351,925
"18013","INDIANA",3036,5777,168
"18015","INDIANA",2224,7086,185
"18017","INDIANA",4304,10552,342
"18019","INDIANA",23093,33668,1108
"18021","INDIANA",2552,9499,216
"18023","INDIANA",3361,9334,254
"18025","INDIANA",1355,3483,106
"18027","INDIANA",2169,9576,209
"18029","INDIANA",5446,19528,409
"18031","INDIANA",2439,9575,273
