"state","countyfips","cty","Clinton","Trump","pctClinton","diff2016"
"AR","05021","Clay",1999,3779,0.345967462789893,-1780
"AR","05023","Cleburne",2101,9454,0.181826049329295,-7353
"AR","05025","Cleveland",723,2460,0.227144203581527,-1737
"AR","05027","Columbia",3140,5456,0.365286179618427,-2316
"AR","05029","Conway",2655,4844,0.354047206294173,-2189
"AR","05031","Craighead",10474,22798,0.314799230584275,-12324
"AR","05033","Crawford",4476,16655,0.211821494486773,-12179
"AR","05035","Crittenden",8368,6953,0.546178447881992,1415
"AR","05037","Cross",1995,4577,0.303560559951309,-2582
"AR","05039","Dallas",1165,1507,0.436002994011976,-342
"AR","05041","Desha",2227,1915,0.537662964751328,312
"AR","05043","Drew",2364,3967,0.373400726583478,-1603
"AR","05045","Faulkner",14525,29170,0.332417896784529,-14645
"AR","05047","Franklin",1376,5034,0.214664586583463,-3658
"AR","05049","Fulton",1067,3470,0.235177430019837,-2403
"AR","05051","Garland",12283,26053,0.320403797996661,-13770
"AR","05053","Grant",1407,5160,0.214253083599817,-3753
"AR","05055","Greene",3056,10698,0.222189908390286,-7642
"AR","05057","Hempstead",2371,4391,0.350635906536528,-2020
"AR","05059","Hot Spring",3137,8153,0.277856510186005,-5016
"AR","05061","Howard",1350,3155,0.299667036625971,-1805
"AR","05063","Independence",2878,9925,0.224791064594236,-7047
"AR","05065","Izard",1111,4042,0.215602561614593,-2931
"AR","05067","Jackson",1583,3262,0.326728586171311,-1679
"AR","05069","Jefferson",15721,9231,0.630049695415197,6490
"AR","05071","Johnson",2421,6072,0.285058283292123,-3651
"AR","05073","Lafayette",1028,1750,0.370050395968323,-722
"AR","05075","Lawrence",1263,4064,0.237094049183405,-2801
"AR","05077","Lee",1735,1229,0.585357624831309,506
"AR","05079","Lincoln",1252,2455,0.337739411923388,-1203
"AR","05081","Little River",1397,3604,0.279344131173765,-2207
"AR","05083","Logan",1712,5737,0.229829507316418,-4025
"AR","05085","Lonoke",5638,19902,0.220751761942052,-14264
"AR","05087","Madison",1587,4917,0.2440036900369,-3330
"AR","05089","Marion",1377,5077,0.213356058258444,-3700
"AR","05091","Miller",4273,11293,0.274508544263138,-7020
"AR","05093","Mississippi",5621,6988,0.445792687762709,-1367
"AR","05095","Monroe",1298,1400,0.481097108969607,-102
"AR","05097","Montgomery",735,2573,0.222188633615478,-1838
"AR","05099","Nevada",1156,2001,0.366170414950903,-845
"AR","05101","Newton",699,2875,0.195579182988248,-2176
"AR","05103","Ouachita",4320,5347,0.446881142029585,-1027
"AR","05105","Perry",1035,2979,0.257847533632287,-1944
"AR","05107","Phillips",4292,2443,0.637268002969562,1849
"AR","05109","Pike",684,3150,0.178403755868545,-2466
"AR","05111","Poinsett",1878,3149,0.373582653670181,-1271
"AR","05113","Polk",1210,6606,0.154810644831116,-5396
"AR","05115","Pope",4818,15694,0.234886895475819,-10876
"AR","05117","Prairie",812,2503,0.244947209653092,-1691
"AR","05119","Pulaski",89377,61182,0.593634389176336,28195
"AR","05121","Randolph",1425,4508,0.240182032698466,-3083
"AR","05123","Saint Francis",4031,3195,0.557846664821478,836
"AR","05125","Saline",13247,35852,0.26980182895782,-22605
"AR","05127","Scott",507,2378,0.175736568457539,-1871
"AR","05129","Searcy",601,2955,0.169010123734533,-2354
"AR","05131","Sebastian",12184,28769,0.297511781798647,-16585
"AR","05133","Sevier",1075,3281,0.246786042240588,-2206
"AR","05135","Sharp",1472,5405,0.214046822742475,-3933
"AR","05137","Stone",1189,4081,0.22561669829222,-2892
"AR","05139","Union",5667,10201,0.357133854297958,-4534
"AR","05141","Van Buren",1547,5382,0.223264540337711,-3835
"AR","05143","Washington",32296,40418,0.444151057568006,-8122
"AR","05145","White",5157,21038,0.196869631609086,-15881
"AR","05147","Woodruff",1117,1344,0.45388053636733,-227
"AR","05149","Yell",1472,4600,0.242424242424242,-3128
"AZ","04001","Apache",12196,5315,0.696476500485409,6881
"AZ","04003","Cochise",15291,25036,0.379175242393434,-9745
"AZ","04005","Coconino",25308,16573,0.604283565339892,8735
"AZ","04007","Gila",6746,13672,0.33039474973063,-6926
"AZ","04009","Graham",3301,8025,0.291453293307434,-4724
"AZ","04011","Greenlee",1092,1892,0.365951742627346,-800
"AZ","04012","La Paz",1318,3381,0.280485209619068,-2063
"AZ","04013","Maricopa",549040,590465,0.481823247813744,-41425
"AZ","04015","Mohave",16485,54656,0.231722916461675,-38171
"AZ","04017","Navajo",15362,18165,0.458197870373132,-2803
"AZ","04019","Pima",195649,147019,0.570957895105466,48630
"AZ","04021","Pinal",35737,53857,0.398877156952474,-18120
"AZ","04023","Santa Cruz",10684,3650,0.745360680898563,7034
"AZ","04025","Yavapai",29705,58862,0.335395802048167,-29157
"AZ","04027","Yuma",18336,20586,0.471096038230307,-2250
"CA","06001","Alameda",486351,91189,0.842107905945909,395162
"CA","06003","Alpine",318,211,0.601134215500945,107
"CA","06005","Amador",5904,10239,0.365731276714365,-4335
"CA","06007","Butte",38676,42193,0.478254955545388,-3517
"CA","06009","Calaveras",7738,13072,0.371840461316675,-5334
"CA","06011","Colusa",2659,3551,0.428180354267311,-892
"CA","06013","Contra Costa",286658,105819,0.730381652937624,180839
"CA","06015","Del Norte",3485,5134,0.404339250493097,-1649
"CA","06017","El Dorado",35243,47633,0.425249770741831,-12390
"CA","06019","Fresno",123660,113949,0.520434832013939,9711
"CA","06021","Glenn",3065,5788,0.346210324183892,-2723
"CA","06023","Humboldt",19596,10883,0.642934479477673,8713
"CA","06025","Imperial",28467,11295,0.715934812132186,17172
"CA","06027","Inyo",3155,4248,0.42617857625287,-1093
"CA","06029","Kern",86481,119164,0.420535388655207,-32683
"CA","06031","Kings",12902,17446,0.425135099512324,-4544
"CA","06033","Lake",6240,5752,0.520346897931955,488
"CA","06035","Lassen",2224,7574,0.226985098999796,-5350
"CA","06037","Los Angeles",1893770,620285,0.753273098639449,1273485
"CA","06039","Madera",13283,19221,0.408657396012798,-5938
"CA","06041","Marin",86650,17531,0.831725554563692,69119
"CA","06043","Mariposa",3122,5185,0.375827615264235,-2063
"CA","06045","Mendocino",6905,3571,0.659125620465827,3334
"CA","06047","Merced",21856,18486,0.541767884586783,3370
"CA","06049","Modoc",798,2413,0.248520710059172,-1615
"CA","06051","Mono",2696,2080,0.564489112227806,616
"CA","06053","Monterey",64733,26378,0.710485012786601,38355
"CA","06055","Napa",26161,11946,0.68651428871336,14215
"CA","06057","Nevada",16199,14686,0.524494090982678,1513
"CA","06059","Orange",556544,472669,0.540747153407507,83875
"CA","06061","Placer",61969,78977,0.439664836178395,-17008
"CA","06063","Plumas",3224,5079,0.388293387932073,-1855
"CA","06065","Riverside",339145,309514,0.522840198008507,29631
"CA","06067","Sacramento",273768,163024,0.626769721057162,110744
"CA","06069","San Benito",10050,6471,0.608316687851825,3579
"CA","06071","San Bernardino",312517,253962,0.551683292761073,58555
"CA","06073","San Diego",567243,386807,0.594563178030502,180436
"CA","06075","San Francisco",312443,34493,0.900578204625637,277950
"CA","06077","San Joaquin",89791,68316,0.567912869132929,21475
"CA","06079","San Luis Obispo",63001,52672,0.544647411236849,10329
"CA","06081","San Mateo",219580,53731,0.803407107653918,165849
"CA","06083","Santa Barbara",100120,53740,0.650721435070844,46380
"CA","06085","Santa Clara",483472,137452,0.778633133845688,346020
"CA","06087","Santa Cruz",85185,20158,0.808644143417218,65027
"CA","06089","Shasta",20471,47587,0.300787563548738,-27116
"CA","06091","Sierra",601,1048,0.364463311097635,-447
"CA","06093","Siskiyou",7106,11212,0.387924445900207,-4106
"CA","06095","Solano",97159,49595,0.662053504504136,47564
"CA","06097","Sonoma",116027,37421,0.756132370575048,78606
"CA","06099","Stanislaus",73939,72960,0.503332221458281,979
"CA","06101","Sutter",11831,16780,0.413512285484604,-4949
"CA","06103","Tehama",6571,14981,0.304890497401633,-8410
"CA","06105","Trinity",1876,2409,0.437806301050175,-533
"CA","06107","Tulare",39099,50488,0.436436090057709,-11389
"CA","06109","Tuolumne",8580,13486,0.388833499501496,-4906
"CA","06111","Ventura",170489,118764,0.58941134577688,51725
"CA","06113","Yolo",34460,13178,0.723372097905034,21282
"CA","06115","Yuba",7234,12313,0.370082365580396,-5079
"CO","08001","Adams",86471,73807,0.53950635770349,12664
"CO","08003","Alamosa",3168,3031,0.511050169382158,137
"CO","08005","Arapahoe",148365,109638,0.575051452890083,38727
"CO","08007","Archuleta",2489,4234,0.37022162724974,-1745
"CO","08009","Baca",278,1716,0.139418254764293,-1438
"CO","08011","Bent",581,1166,0.332570120206068,-585
"CO","08013","Boulder",124715,38766,0.762871526354745,85949
"CO","08014","Broomfield",19530,14272,0.577776462931187,5258
"CO","08015","Chaffee",4773,5283,0.47464200477327,-510
"CO","08017","Cheyenne",127,905,0.123062015503876,-778
"CO","08019","Clear Creek",2585,2426,0.515865096787068,159
"CO","08021","Conejos",1753,1885,0.481858163826278,-132
"CO","08023","Costilla",1109,581,0.656213017751479,528
"CO","08025","Crowley",336,1069,0.23914590747331,-733
"CO","08027","Custer",797,2059,0.27906162464986,-1262
"CO","08029","Delta",4048,11584,0.258955987717503,-7536
"CO","08031","Denver",174611,43637,0.800057732487812,130974
"CO","08033","Dolores",227,936,0.19518486672399,-709
"CO","08035","Douglas",67045,100178,0.400931690018718,-33133
"CO","08037","Eagle",12652,8153,0.608123047344388,4499
"CO","08039","Elbert",3056,11536,0.209429824561404,-8480
"CO","08041","El Paso",105807,176506,0.37478614162295,-70699
"CO","08043","Fremont",5275,15066,0.259328449928715,-9791
"CO","08045","Garfield",11205,13071,0.46156697973307,-1866
"CO","08047","Gilpin",1634,1564,0.510944340212633,70
"CO","08049","Grand",3319,4467,0.426277934754688,-1148
"CO","08051","Gunnison",5068,3250,0.609281077182015,1818
"CO","08053","Hinsdale",197,339,0.367537313432836,-142
"CO","08055","Huerfano",1631,1875,0.465202509982886,-244
"CO","08057","Jackson",171,628,0.214017521902378,-457
"CO","08059","Jefferson",151885,130233,0.538374013710575,21652
"CO","08061","Kiowa",91,726,0.111383108935129,-635
"CO","08063","Kit Carson",526,2894,0.153801169590643,-2368
"CO","08065","Lake",1600,1264,0.558659217877095,336
"CO","08067","La Plata",15300,12471,0.550934428000432,2829
"CO","08069","Larimer",92170,82624,0.52730642928247,9546
"CO","08071","Las Animas",2614,3656,0.416905901116427,-1042
"CO","08073","Lincoln",399,1873,0.175616197183099,-1474
"CO","08075","Logan",1843,7272,0.202194185408667,-5429
"CO","08077","Mesa",20958,48129,0.303356637283425,-27171
"CO","08079","Mineral",237,344,0.407917383820998,-107
"CO","08081","Moffat",874,5293,0.141722069077347,-4419
"CO","08083","Montezuma",3920,7771,0.335300658626294,-3851
"CO","08085","Montrose",5438,14303,0.275467301555139,-8865
"CO","08087","Morgan",3128,8104,0.278490028490028,-4976
"CO","08089","Otero",1719,2988,0.365200764818356,-1269
"CO","08091","Ouray",1690,1337,0.558308556326396,353
"CO","08093","Park",3351,6053,0.356337728626117,-2702
"CO","08095","Phillips",436,1791,0.195779074988774,-1355
"CO","08097","Pitkin",7239,2522,0.741624833521156,4717
"CO","08099","Prowers",1173,3508,0.250587481307413,-2335
"CO","08101","Pueblo",27945,27746,0.501786644161534,199
"CO","08103","Rio Blanco",433,2782,0.134681181959565,-2349
"CO","08105","Rio Grande",1985,3060,0.393458870168484,-1075
"CO","08107","Routt",7487,5149,0.592513453624565,2338
"CO","08109","Saguache",1345,1109,0.548084759576202,236
"CO","08111","San Juan",265,215,0.552083333333333,50
"CO","08113","San Miguel",2960,1030,0.741854636591479,1930
"CO","08115","Sedgwick",267,1015,0.208268330733229,-748
"CO","08117","Summit",9502,5064,0.652341068241109,4438
"CO","08119","Teller",3547,9580,0.270206444732231,-6033
"CO","08121","Washington",289,2284,0.112320248736883,-1995
"CO","08123","Weld",45869,75882,0.376744338855533,-30013
"CO","08125","Yuma",701,3755,0.157315978456014,-3054
"CT","09001","Fairfield",238723,155457,0.60561926023644,83266
"CT","09003","Hartford",233789,147912,0.612492500674612,85877
"CT","09005","Litchfield",39836,53376,0.427369866540789,-13540
"CT","09007","Middlesex",45306,38847,0.538376528466008,6459
"CT","09009","New Haven",203601,158373,0.562474100349749,45228
"CT","09011","New London",62951,54574,0.53563922569666,8377
"CT","09013","Tolland",38450,33989,0.530791424508897,4461
"CT","09015","Windham",21776,25738,0.458307025297807,-3962
"DC","11001","Dist. of Columbia",260223,11553,0.957490727658071,248670
"DE","10001","Kent",33347,36989,0.474109986351228,-3642
"DE","10003","New Castle",162905,85507,0.655785549812408,77398
"DE","10005","Sussex",39329,62607,0.385820514832836,-23278
"FL","12001","Alachua",75370,46584,0.618019909146072,28786
"FL","12003","Baker",2112,10294,0.170240206351765,-8182
"FL","12005","Bay",21689,62010,0.25913093346396,-40321
"FL","12007","Bradford",2924,8913,0.247022049505787,-5989
"FL","12009","Brevard",119525,181620,0.396901824702386,-62095
"FL","12011","Broward",546956,258521,0.679046080769532,288435
"FL","12013","Calhoun",1236,4647,0.210096889342172,-3411
"FL","12015","Charlotte",33421,60196,0.356997126590256,-26775
"FL","12017","Citrus",22765,54377,0.29510513079775,-31612
"FL","12019","Clay",27768,74898,0.270469288761615,-47130
"FL","12021","Collier",60941,105297,0.366588866564805,-44356
"FL","12023","Columbia",7599,20359,0.271800557979827,-12760
"FL","12027","DeSoto",3761,6744,0.358019990480723,-2983
"FL","12029","Dixie",1270,5822,0.179075014100395,-4552
"FL","12031","Duval",203627,210061,0.492223608129798,-6434
"FL","12033","Escambia",57114,88370,0.392579252701328,-31256
"FL","12035","Flagler",21985,33804,0.394074100629156,-11819
"FL","12037","Franklin",1738,4119,0.296738944852313,-2381
"FL","12039","Gadsden",14994,6721,0.690490444393277,8273
"FL","12041","Gilchrist",1457,6740,0.177747956569477,-5283
"FL","12043","Glades",1271,2996,0.29786735411296,-1725
"FL","12045","Gulf",1715,5320,0.243781094527363,-3605
"FL","12047","Hamilton",1899,3439,0.355751217684526,-1540
"FL","12049","Hardee",2147,5238,0.290724441435342,-3091
"FL","12051","Hendry",4610,6192,0.426772819848176,-1582
"FL","12053","Hernando",31818,59029,0.350237212015807,-27211
"FL","12055","Highlands",14901,29509,0.33553253771673,-14608
"FL","12057","Hillsborough",306422,265928,0.535375207477942,40494
"FL","12059","Holmes",852,7476,0.102305475504323,-6624
"FL","12061","Indian River",28997,48564,0.373860574257681,-19567
"FL","12063","Jackson",6383,14231,0.309643931308819,-7848
"FL","12065","Jefferson",3537,3930,0.473684210526316,-393
"FL","12067","Lafayette",515,2795,0.155589123867069,-2280
"FL","12069","Lake",62597,101888,0.380563577225887,-39291
"FL","12071","Lee",124725,191141,0.394866810609562,-66416
"FL","12073","Leon",91936,53777,0.630938900441278,38159
"FL","12075","Levy",5091,13758,0.270093904185898,-8667
"FL","12077","Liberty",651,2542,0.203883495145631,-1891
"FL","12079","Madison",3526,4849,0.421014925373134,-1323
"FL","12081","Manatee",71066,101681,0.411387752030426,-30615
"FL","12083","Marion",61958,107710,0.365171982931372,-45752
"FL","12085","Martin",30158,53182,0.361867050635949,-23024
"FL","12086","Miami-Dade",623006,333666,0.651222153465347,289340
"FL","12087","Monroe",18949,21885,0.464049566537689,-2936
"FL","12089","Nassau",10849,34221,0.240714444197914,-23372
"FL","12091","Okaloosa",23711,71788,0.248285322359396,-48077
"FL","12093","Okeechobee",3953,9342,0.29732982324182,-5389
"FL","12095","Orange",329579,195091,0.628164369984943,134488
"FL","12097","Osceola",85287,50252,0.629243243642051,35035
"FL","12099","Palm Beach",371411,270762,0.578365954345636,100649
"FL","12101","Pasco",89998,141943,0.388021091570701,-51945
"FL","12103","Pinellas",233327,238746,0.494260421587339,-5419
"FL","12105","Polk",117182,157216,0.427051217574472,-40034
"FL","12107","Putnam",9920,21873,0.312018368823326,-11953
"FL","12109","St. Johns",43037,88633,0.326855016328701,-45596
"FL","12111","St. Lucie",66812,70248,0.487465343645119,-3436
"FL","12113","Santa Rosa",18398,65126,0.220272017623677,-46728
"FL","12115","Sarasota",97676,124098,0.44043034801194,-26422
"FL","12117","Seminole",105611,109265,0.491497421768834,-3654
"FL","12119","Sumter",22631,52722,0.300333098881266,-30091
"FL","12121","Suwannee",3955,14281,0.216878701469621,-10326
"FL","12123","Taylor",2149,6923,0.236882716049383,-4774
"FL","12125","Union",1014,4567,0.181687869557427,-3553
"FL","12127","Volusia",108793,142763,0.432480242967769,-33970
"FL","12129","Wakulla",4348,10507,0.292696061932009,-6159
"FL","12131","Walton",6861,25695,0.210744563214154,-18834
"FL","12133","Washington",2261,8630,0.207602607657699,-6369
"GA","13001","Appling",1434,5492,0.207045913947444,-4058
"GA","13003","Atkinson",696,1873,0.270922537952511,-1177
"GA","13005","Bacon",607,3356,0.153166792833712,-2749
"GA","13007","Baker",650,775,0.456140350877193,-125
"GA","13009","Baldwin",7965,7691,0.508750638732754,274
"GA","13011","Banks",684,6130,0.100381567361315,-5446
"GA","13013","Barrow",6580,21105,0.237673830594185,-14525
"GA","13015","Bartow",8204,29879,0.215424205025865,-21675
"GA","13017","Ben Hill",2098,3734,0.359739368998628,-1636
"GA","13019","Berrien",1041,5408,0.161420375251977,-4367
"GA","13021","Bibb",34383,22589,0.603506985887804,11794
"GA","13023","Bleckley",1094,3717,0.22739555186032,-2623
"GA","13025","Brantley",619,5561,0.100161812297735,-4942
"GA","13027","Brooks",2504,3679,0.404981400614588,-1175
"GA","13029","Bryan",4010,10513,0.276113750602493,-6503
"GA","13031","Bulloch",8812,14476,0.378392305049811,-5664
"GA","13033","Burke",4730,4491,0.512959548855872,239
"GA","13035","Butts",2566,6717,0.276419261014758,-4151
"GA","13037","Calhoun",1178,829,0.586945690084704,349
"GA","13039","Camden",5914,12287,0.324927201802099,-6373
"GA","13043","Candler",1023,2661,0.277687296416938,-1638
"GA","13045","Carroll",12422,29983,0.292937153637543,-17561
"GA","13047","Catoosa",4769,20860,0.186078270708962,-16091
"GA","13049","Charlton",1004,2950,0.253920080930703,-1946
"GA","13051","Chatham",58998,43649,0.574765945424611,15349
"GA","13053","Chattahoochee",593,746,0.442867811799851,-153
"GA","13055","Chattooga",1612,6457,0.199776924030239,-4845
"GA","13057","Cherokee",25203,80611,0.238182093106772,-55408
"GA","13059","Clarke",29514,12691,0.699301030683568,16823
"GA","13061","Clay",697,566,0.551860649247823,131
"GA","13063","Clayton",75908,11740,0.866055129609346,64168
"GA","13065","Clinch",685,1724,0.284350352843504,-1039
"GA","13067","Cobb",159416,152602,0.510919241838612,6814
"GA","13069","Coffee",4090,9575,0.299304793267472,-5485
"GA","13071","Colquitt",3460,9892,0.259137207908928,-6432
"GA","13073","Columbia",18863,43060,0.304620254186651,-24197
"GA","13075","Cook",1752,4175,0.295596423148304,-2423
"GA","13077","Coweta",16572,42513,0.28047727849708,-25941
"GA","13079","Crawford",1419,3632,0.280934468422095,-2213
"GA","13081","Crisp",2835,4539,0.384458909682669,-1704
"GA","13083","Dade",965,5047,0.160512308715902,-4082
"GA","13085","Dawson",1444,9880,0.12751677852349,-8436
"GA","13087","Decatur",4104,6009,0.405814298427766,-1905
"GA","13089","DeKalb",239131,47531,0.834191486838158,191600
"GA","13091","Dodge",1836,5021,0.267755578241213,-3185
"GA","13093","Dooly",1860,1941,0.489344909234412,-81
"GA","13095","Dougherty",23224,10227,0.694269229619443,12997
"GA","13097","Douglas",30971,24803,0.555294581704737,6168
"GA","13099","Early",2165,2552,0.458978164087344,-387
"GA","13101","Echols",156,1006,0.134251290877797,-850
"GA","13103","Effingham",4851,17865,0.213549920760697,-13014
"GA","13105","Elbert",2507,5269,0.322402263374486,-2762
"GA","13107","Emanuel",2433,5330,0.313409764266392,-2897
"GA","13109","Evans",1130,2404,0.319750990379174,-1274
"GA","13111","Fannin",1920,9622,0.166348986310865,-7702
"GA","13113","Fayette",23255,35034,0.398960352725214,-11779
"GA","13115","Floyd",9127,24045,0.275141685759074,-14918
"GA","13117","Forsyth",23427,69801,0.251287166945553,-46374
"GA","13119","Franklin",1243,7054,0.149813185488731,-5811
"GA","13121","Fulton",281875,110372,0.71861607609491,171503
"GA","13123","Gilmer",1955,10465,0.157407407407407,-8510
"GA","13125","Glascock",138,1235,0.100509832483613,-1097
"GA","13127","Glynn",11738,21482,0.353341360626129,-9744
"GA","13129","Gordon",3176,15171,0.17310731999782,-11995
"GA","13131","Grady",3005,6047,0.331970835174547,-3042
"GA","13133","Greene",3194,5488,0.367887583506105,-2294
"GA","13135","Gwinnett",165063,146463,0.529853045973691,18600
"GA","13137","Habersham",2483,13184,0.158485989659794,-10701
"GA","13139","Hall",16153,51681,0.238125423828758,-35528
"GA","13141","Hancock",2695,841,0.762160633484163,1854
"GA","13143","Haralson",1474,9579,0.133357459513254,-8105
"GA","13145","Harris",4082,11931,0.254917879223131,-7849
"GA","13147","Hart",2583,7285,0.261755168220511,-4702
"GA","13149","Heard",743,3370,0.180646729880866,-2627
"GA","13151","Henry",49902,45641,0.522298860199073,4261
"GA","13153","Houston",22460,35351,0.388507377488713,-12891
"GA","13155","Irwin",890,2711,0.247153568453207,-1821
"GA","13157","Jackson",4469,21754,0.170422911184838,-17285
"GA","13159","Jasper",1544,4353,0.261828048160081,-2809
"GA","13161","Jeff Davis",901,4102,0.1800919448331,-3201
"GA","13163","Jefferson",3809,3057,0.554762598310516,752
"GA","13165","Jenkins",1108,1892,0.369333333333333,-784
"GA","13167","Johnson",1136,2519,0.310807113543092,-1383
"GA","13169","Jones",3960,8304,0.322896281800391,-4344
"GA","13171","Lamar",2267,5183,0.304295302013423,-2916
"GA","13173","Lanier",805,1984,0.288633918967372,-1179
"GA","13175","Laurens",6737,12401,0.352022154875118,-5664
"GA","13177","Lee",3166,10641,0.229303976243934,-7475
"GA","13179","Liberty",9531,6125,0.608776188042923,3406
"GA","13181","Lincoln",1271,2759,0.315384615384615,-1488
"GA","13183","Long",1356,2623,0.340789143000754,-1267
"GA","13185","Lowndes",14614,21308,0.406825900562329,-6694
"GA","13187","Lumpkin",2216,9613,0.187336207625328,-7397
"GA","13189","McDuffie",3699,5432,0.405103493593254,-1733
"GA","13191","McIntosh",2298,3482,0.39757785467128,-1184
"GA","13193","Macon",2705,1540,0.637220259128386,1165
"GA","13195","Madison",2423,9195,0.208555689447409,-6772
"GA","13197","Marion",1213,1921,0.387045309508615,-708
"GA","13199","Meriwether",3800,5216,0.421472937000887,-1416
"GA","13201","Miller",622,1888,0.247808764940239,-1266
"GA","13205","Mitchell",3492,4272,0.449768160741886,-780
"GA","13207","Monroe",3570,8821,0.288112339601324,-5251
"GA","13209","Montgomery",847,2668,0.240967283072546,-1821
"GA","13211","Morgan",2658,6559,0.288380167082565,-3901
"GA","13213","Murray",1799,10340,0.148200016475822,-8541
"GA","13215","Muscogee",39602,26901,0.595491932694766,12701
"GA","13217","Newton",21936,20907,0.512008962957776,1029
"GA","13219","Oconee",5253,12885,0.289612967251075,-7632
"GA","13221","Oglethorpe",1829,4622,0.283521934583785,-2793
"GA","13223","Paulding",18004,44646,0.287374301675978,-26642
"GA","13225","Peach",5083,5405,0.484649122807018,-322
