office,state,year,redistricteddate,repvotes,repcandidate,repstatus,demvotes,demcandidate,demstatus,thirdparty,thirdvotes,thirdcandidate,thirdstatus,othervotes,pluralityvotes,pluralityparty,thirdvotestotalpercent,repvotesmajorpercent,demvotesmajorpercent,racenotes,district
House,CALIFORNIA,1968,19680308,69485,"Orozco, Bill",Challenger,76091,"Brown, George E. Jr.",Challenger,N/A,,N/A,N/A,,6606,D,0,47.73,52.27,,29
House,CALIFORNIA,1968,19720215,80193,"Duffy, Elmore J.",Challenger,107446,"Moss, John Emerson",Challenger,N/A,,N/A,N/A,4234,27253,D,0,42.74,57.26,,3
House,CALIFORNIA,1968,19680308,37234,"Cavnar, Samuel M.",Challenger,76967,"Roybal, Edward R.",Incumbent,N/A,,N/A,N/A,,39733,D,0,32.6,67.4,,30
House,CALIFORNIA,1968,19680308,65004,"Dunn, James R.",Challenger,97855,"Wilson, Charles H.",Incumbent,N/A,,N/A,N/A,3315,32851,D,0,39.91,60.09,,31
House,CALIFORNIA,1968,19680308,142401,"Hosmer, Craig",Incumbent,46404,"Gottlieb, Arthur J.",Challenger,N/A,,N/A,N/A,3991,95997,R,0,75.42,24.58,,32
House,CALIFORNIA,1968,19680308,123507,"Pettis, Jerry L.",Incumbent,59649,"Ballard, Al C.",Challenger,N/A,,N/A,N/A,3174,63858,R,0,67.43,32.57,,33
House,CALIFORNIA,1968,19680308,103470,"Teague, Bill J.",Challenger,107513,"Hanna, Richard T.",Incumbent,N/A,,N/A,N/A,,4043,D,0,49.04,50.96,,34
House,CALIFORNIA,1968,19680308,216093,"Utt, James Boyd",Incumbent,74798,"Lenhart, Thomas B.",Challenger,N/A,,N/A,N/A,7098,141295,R,0,74.29,25.71,,35
House,CALIFORNIA,1968,19680308,148854,"Wilson, Robert Carlton",Incumbent,59011,"Lindgren, Don",Challenger,N/A,,N/A,N/A,,89843,R,0,71.61,28.39,,36
House,CALIFORNIA,1968,19680308,52547,"Schaeffer, Mike",Challenger,9613,"Van Deerlin, Lionel",Incumbent,N/A,,N/A,N/A,,42934,R,0,84.54,15.46,,37
House,CALIFORNIA,1968,19680308,68887,"Hunter, Robert O.",Challenger,121749,"Tunney, John V.",Incumbent,N/A,,N/A,N/A,3665,52862,D,0,36.14,63.86,,38
House,CALIFORNIA,1968,19680308,67225,"Shumway, James M.",Challenger,90126,"Leggett, Robert L.",Incumbent,N/A,,N/A,N/A,4670,22901,D,0,42.72,57.28,,4
House,CALIFORNIA,1968,19680308,31157,"Velasquez, Waldo",Challenger,95630,"Burton, Phillip",Incumbent,N/A,,N/A,N/A,4607,64473,D,0,24.57,75.43,,5
House,CALIFORNIA,1968,19680308,151336,"Mailliard, William S.",Challenger,54928,"Drath, Phillip",Challenger,N/A,,N/A,N/A,,96408,R,0,73.37,26.63,,6
House,CALIFORNIA,1968,19680308,48397,"Hilburn, Barney E.",Challenger,102689,"Cohelan, Jeffery",Incumbent,N/A,,N/A,N/A,12279,54292,D,0,32.03,67.97,,7
House,CALIFORNIA,1968,19680308,58887,"Britton, Raymond P.",Challenger,104768,"Miller, George P.",Incumbent,N/A,,N/A,N/A,,45881,D,0,35.98,64.02,,8
House,CALIFORNIA,1968,19680308,77847,"Fargher, Larry",Challenger,101329,"Edwards, Don",Incumbent,N/A,,N/A,N/A,3,23482,D,0,43.45,56.55,,9
House,COLORADO,1968,19640429,82677,"Kemp, Frank A.",Challenger,91199,"Rogers, Byron G.",Incumbent,N/A,,N/A,N/A,25499,8522,D,0,47.55,52.45,,1
House,COLORADO,1968,19640429,152153,"Brotzman, Donald G.",Incumbent,89917,"McVicker, Roy H.",Challenger,N/A,,N/A,N/A,,62236,R,0,62.85,37.15,,2
House,COLORADO,1968,19640429,81173,"Bradley, Paul",Challenger,88368,"Evans, Frank E.",Incumbent,N/A,,N/A,N/A,,7195,D,0,47.88,52.12,,3
House,COLORADO,1968,19640429,76776,"Anderson, Fred E.",Challenger,92680,"Aspinall, Wayne N.",Incumbent,N/A,,N/A,N/A,,15904,D,0,45.31,54.69,,4
House,CONNECTICUT,1968,19640423,74615,"Ladd, Roger B.",Challenger,124966,"Daddario, Emilio Q.",Challenger,N/A,,N/A,N/A,575,50351,D,0,37.39,62.61,,1
House,CONNECTICUT,1968,19640423,89098,"Mariani, Peter P.",Challenger,106203,"St. Onge, William L.",Challenger,N/A,,N/A,N/A,1185,17105,D,0,45.62,54.38,,2
House,CONNECTICUT,1968,19640423,80696,"Salmona, Stelio",Challenger,102636,"Giaimo, Robert N.",Challenger,N/A,,N/A,N/A,7131,21940,D,0,44.02,55.98,,3
House,CONNECTICUT,1968,19640423,113749,"Weicker, Lowell P. Jr.",Challenger,104723,"Irwin, Donald J.",Incumbent,N/A,,N/A,N/A,2805,9026,R,0,52.07,47.93,,4
House,CONNECTICUT,1968,19640423,85591,"Russo, Gaetano A.",Challenger,110337,"Monagan, John S.",Incumbent,N/A,,N/A,N/A,3,24746,D,0,43.68,56.32,,5
House,CONNECTICUT,1968,19640423,126208,"Meskill, Thomas J.",Challenger,76413,"Sharaf, Robert M.",Challenger,N/A,,N/A,N/A,7,49795,R,0,62.29,37.71,,6
House,DELAWARE,1968,N/A,117827,"Roth, William V.",Incumbent,82993,"McDowell, Harris B. Jr.",Challenger,N/A,,N/A,N/A,,34834,R,0,58.67,41.33,,0
House,FLORIDA,1968,19670802,21063,"Drzazga, John",Challenger,116215,"Sikes, Robert L. F.",Incumbent,N/A,,N/A,N/A,,95152,D,0,15.34,84.66,,1
House,FLORIDA,1968,19670802,99844,"Burke, J. Herbert",Incumbent,82138,"Gissendanner, E. J.",Challenger,N/A,,N/A,N/A,,17706,R,0,54.86,45.14,,10
House,FLORIDA,1968,19670802,30324,"Strauss, Ronald I.",Challenger,99154,"Pepper, Claude",Incumbent,N/A,,N/A,N/A,1,68830,D,0,23.42,76.58,,11
House,FLORIDA,1968,19670802,62032,"Thompson, Mike",Challenger,82362,"Fascell, Dante B.",Incumbent,N/A,,N/A,N/A,,20330,D,0,42.96,57.04,,12
House,FLORIDA,1968,19670802,,N/A,N/A,87313,"Fuqua, Don",Incumbent,N/A,,N/A,N/A,,87313,D,0,0,100,,2
House,FLORIDA,1968,19670802,27696,"Parsons, Bill",Challenger,103540,"Bennett, Charles E.",Incumbent,N/A,,N/A,N/A,,75844,D,0,21.1,78.9,,3
House,FLORIDA,1968,19670802,76974,"Herlong, William F.",Challenger,86251,"Chappell, William V.",Challenger,N/A,,N/A,N/A,23,9277,D,0,47.16,52.84,,4
House,FLORIDA,1968,19670802,108620,"Frey, Louis",Challenger,67505,"Robinson, James C.",Challenger,N/A,,N/A,N/A,,41115,R,0,61.67,38.33,,5
House,FLORIDA,1968,19670802,51637,"Saad, Paul A.",Challenger,84193,"Gibbons, Sam M.",Incumbent,N/A,,N/A,N/A,4,32556,D,0,38.02,61.98,,6
House,FLORIDA,1968,19670802,74896,"Lovingood, Joe Z.",Challenger,91539,"Haley, James A.",Incumbent,N/A,,N/A,N/A,,16643,D,0,45,55,,7
House,FLORIDA,1968,19670802,117747,"Cramer, William C.",Incumbent,,N/A,N/A,N/A,,N/A,N/A,,117747,R,0,100,0,,8
House,FLORIDA,1968,19670802,87074,"Rust, Robert W.",Challenger,111539,"Rogers, Paul G.",Challenger,N/A,,N/A,N/A,,24465,D,0,43.84,56.16,,9
House,GEORGIA,1968,19640313,36118,"Tribble, Joseph J.",Challenger,77403,"Hagan, G. Elliott",Incumbent,N/A,,N/A,N/A,,41285,D,0,31.82,68.18,,1
House,GEORGIA,1968,19640313,,N/A,N/A,80674,"Stephens, Robert G. Jr.",Challenger,N/A,,N/A,N/A,3,80674,D,0,0,100,,10
House,GEORGIA,1968,19640313,,N/A,N/A,72830,"O'Neal, Emmett Maston Jr.",Incumbent,N/A,,N/A,N/A,,72830,D,0,0,100,,2
House,GEORGIA,1968,19640313,,N/A,N/A,55759,"Brinkley, Jack",Incumbent,N/A,,N/A,N/A,3,55759,D,0,0,100,,3
House,GEORGIA,1968,19640313,78753,"Blackburn, Benjamin B.",Incumbent,58154,"MacKay, James A.",Challenger,N/A,,N/A,N/A,,20599,R,0,57.52,42.48,,4
House,GEORGIA,1968,19640313,79258,"Thompson, S. Fletcher",Incumbent,63183,"Weltner, Charles L.",Challenger,N/A,,N/A,N/A,1,16075,R,0,55.64,44.36,,5
House,GEORGIA,1968,19640313,,N/A,N/A,97289,"Flynt, John James Jr.",Challenger,N/A,,N/A,N/A,4,97289,D,0,0,100,,6
House,GEORGIA,1968,19640313,,N/A,N/A,96505,"Davis, John W.",Challenger,N/A,,N/A,N/A,151,96505,D,0,0,100,,7
House,GEORGIA,1968,19640313,,N/A,N/A,64912,"Stuckey, W. S.",Challenger,N/A,,N/A,N/A,1,64912,D,0,0,100,,8
House,GEORGIA,1968,19640313,,N/A,N/A,83829,"Landrijm, Phil M.",Challenger,N/A,,N/A,N/A,3,83829,D,0,0,100,,9
House,HAWAII,1968,N/A,78733,"Blaisdell, Neal S.",Challenger,161954,"Matsunaga, Spark M.",Challenger,Democrat,149207,"Mink, Patsy T.",Incumbent,46123,12747,D,34.22,32.71,67.29,"Multimember District. Two At Large seats were open in this race.; The other vote was: Dubois, George (Republican) 39,233; Olsen, Jon D. (Peace and Freedom) 2,432; Lombardi, Peter O. (Peace and Freedom) 2,026",0
House,IDAHO,1968,19650325,90870,"McClure, James A.",Incumbent,62002,"White, Compton I. Jr.",Challenger,N/A,,N/A,N/A,,28868,R,0,59.44,40.56,,1
House,IDAHO,1968,19650325,65029,"Hansen, Orval H.",Challenger,54256,"Manning, D. V.",Challenger,N/A,,N/A,N/A,4377,10773,R,0,54.52,45.48,,2
House,ILLINOIS,1968,19651124,21758,"Jennings, Janet R.",Challenger,119207,"Dawson, William L.",Incumbent,N/A,,N/A,N/A,,97449,D,0,15.44,84.56,,1
House,ILLINOIS,1968,19651124,148398,"Collier, Harold R.",Incumbent,73766,"Axelrood, Seymour C.",Challenger,N/A,,N/A,N/A,,74632,R,0,66.8,33.2,,10
House,ILLINOIS,1968,19651124,101665,"Hoellen, John J.",Challenger,128152,"Pucinski, Roman C.",Incumbent,N/A,,N/A,N/A,,26487,D,0,44.24,55.76,,11
House,ILLINOIS,1968,19651124,120370,"McClory, Robert",Incumbent,50525,"Salvi, Albert S.",Challenger,N/A,,N/A,N/A,,69845,R,0,70.44,29.56,,12
House,ILLINOIS,1968,19651124,186714,"Rumsfeld, Donald",Incumbent,69987,"Baylor, David C.",Challenger,N/A,,N/A,N/A,,116727,R,0,72.74,27.26,,13
House,ILLINOIS,1968,19651124,163332,"Erlenborn, John N.",Incumbent,66293,"Karson, Marc",Challenger,N/A,,N/A,N/A,1,97039,R,0,71.13,28.87,,14
House,ILLINOIS,1968,19651124,121432,"Reid, Charlotte T.",Challenger,55291,"Alschuler, Benjamin",Challenger,N/A,,N/A,N/A,,66141,R,0,68.71,31.29,,15
House,ILLINOIS,1968,19651124,111037,"Anderson, John Bayard",Incumbent,53838,"Major, Stan",Challenger,N/A,,N/A,N/A,,57199,R,0,67.35,32.65,,16
House,ILLINOIS,1968,19651124,122513,"Arends, Leslie C.",Incumbent,65192,"Hawthorne, Lester A.",Challenger,N/A,,N/A,N/A,,57321,R,0,65.27,34.73,,17
House,ILLINOIS,1968,19651124,106122,"Michel, Robert H.",Incumbent,68173,"Hatcher, James G.",Challenger,N/A,,N/A,N/A,,37949,R,0,60.89,39.11,,18
House,ILLINOIS,1968,19651124,114948,"Railsback, Tom",Incumbent,66135,"Lovitt, Craig",Challenger,N/A,,N/A,N/A,,48813,R,0,63.48,36.52,,19
House,ILLINOIS,1968,19651124,56513,"Ireland, Thomas R.",Challenger,106642,"Mikva, Abner J.",Challenger,N/A,,N/A,N/A,,50129,D,0,34.64,65.36,,2
House,ILLINOIS,1968,19651124,124121,"Findley, Paul",Incumbent,63412,"Schilson, Donald L.",Challenger,N/A,,N/A,N/A,,60709,R,0,66.19,33.81,,20
House,ILLINOIS,1968,19651124,94363,"Oshel, Val",Challenger,111425,"Gray, Kenneth J.",Incumbent,N/A,,N/A,N/A,,17062,D,0,45.85,54.15,,21
House,ILLINOIS,1968,19651124,115258,"Springer, William L.",Incumbent,63957,"Firley, Carl F.",Challenger,N/A,,N/A,N/A,,51301,R,0,64.31,35.69,,22
House,ILLINOIS,1968,19651124,88945,"Hopper, Bert",Challenger,104349,"Shipley, George E.",Incumbent,N/A,,N/A,N/A,,15404,D,0,46.02,53.98,,23
House,ILLINOIS,1968,19651124,45649,"Guthrie, John S.",Challenger,113507,"Price, Melvin",Incumbent,N/A,,N/A,N/A,,67858,D,0,28.68,71.32,,24
House,ILLINOIS,1968,19651124,86535,"Podesta, Robert A.",Challenger,101729,"Murphy, William T.",Incumbent,N/A,,N/A,N/A,,15194,D,0,45.96,54.04,,3
House,ILLINOIS,1968,19651124,151216,"Derwinski, Edward J.",Incumbent,70145,"Creighton, Robert E.",Challenger,N/A,,N/A,N/A,,81071,R,0,68.31,31.69,,4
House,ILLINOIS,1968,19651124,77887,"Krasowski, Joseph J.",Challenger,96584,"Kluczynski, John C.",Incumbent,N/A,,N/A,N/A,,18697,D,0,44.64,55.36,,5
House,ILLINOIS,1968,19651124,63999,"Dolezal, Gerald",Challenger,94779,"Ronan, Daniel J.",Incumbent,N/A,,N/A,N/A,,30780,D,0,40.31,59.69,,6
House,ILLINOIS,1968,19651124,17594,"Lento, Thomas J.",Challenger,86769,"Annunzio, Frank",Incumbent,N/A,,N/A,N/A,,69175,D,0,16.86,83.14,,7
House,ILLINOIS,1968,19651124,62254,"Kaplinski, Henry S.",Challenger,105003,"Rostenkowski, Daniel",Challenger,N/A,,N/A,N/A,,42749,D,0,37.22,62.78,,8
House,ILLINOIS,1968,19651124,65687,"Notz, Edward U.",Challenger,119032,"Yates, Sidney R.",Challenger,N/A,,N/A,N/A,,53345,D,0,35.56,64.44,,9
House,INDIANA,1968,19680215,68318,"Taylor, Donald E.",Challenger,90055,"Madden, Ray J.",Incumbent,N/A,,N/A,N/A,351,21737,D,0,43.14,56.86,,1
House,INDIANA,1968,19680215,98090,"Dennis, David W.",Challenger,83981,"Norton, William J.",Challenger,N/A,,N/A,N/A,,14109,R,0,53.87,46.13,,10
House,INDIANA,1968,19680215,70725,"Hill, W. W. Jr.",Challenger,80015,"Jacobs, Andrew Jr.",Challenger,N/A,,N/A,N/A,,9290,D,0,46.92,53.08,,11
House,INDIANA,1968,19680215,104238,"Landgrebe, Earl F.",Challenger,85084,"Kelly, Edward F.",Challenger,N/A,,N/A,N/A,,19154,R,0,55.06,44.94,,2
House,INDIANA,1968,19680215,86354,"Erwin, William W.",Challenger,94452,"Brademas, John",Incumbent,N/A,,N/A,N/A,,8098,D,0,47.76,52.24,,3
House,INDIANA,1968,19680215,98977,"Adair, Edwin Ross",Incumbent,93515,"Roush, J. Edward",Challenger,N/A,,N/A,N/A,,5462,R,0,51.42,48.58,,4
House,INDIANA,1968,19680215,114537,"Roudebush, Richard L.",Challenger,67370,"Ford, Robert C.",Challenger,N/A,,N/A,N/A,,47167,R,0,62.96,37.04,,5
House,INDIANA,1968,19680215,142207,"Bray, William G.",Incumbent,76940,"Bayt, Phillip L.",Challenger,N/A,,N/A,N/A,,65267,R,0,64.89,35.11,,6
House,INDIANA,1968,19680215,115921,"Myers, John T.",Incumbent,78045,"Tipton, Elden C.",Challenger,N/A,,N/A,N/A,15,37876,R,0,59.76,40.24,,7
House,INDIANA,1968,19680215,109585,"Zion, Roger H.",Incumbent,91642,"Kent, K. Wayne",Challenger,N/A,,N/A,N/A,,17943,R,0,54.46,45.54,,8
House,INDIANA,1968,19680215,86012,"Garton, Robert D.",Challenger,102707,"Hamilton, Lee H.",Incumbent,N/A,,N/A,N/A,,16695,D,0,45.58,54.42,,9
House,IOWA,1968,19610505,91419,"Schwengel, Fred",Incumbent,81049,"Schmidhauser, John R.",Challenger,N/A,,N/A,N/A,1,10370,R,0,53.01,46.99,,1
House,IOWA,1968,19610505,84634,"Riley, Tom",Challenger,103651,"Culver, John C.",Incumbent,N/A,,N/A,N/A,4,19017,D,0,44.95,55.05,,2
House,IOWA,1968,19610505,101839,"Gross, H. R.",Incumbent,57164,"Van Eschen, John E.",Challenger,N/A,,N/A,N/A,,44675,R,0,64.05,35.95,,3
House,IOWA,1968,19610505,83259,"Kyl, John",Incumbent,71134,"Bandstra, Bert",Challenger,N/A,,N/A,N/A,,12125,R,0,53.93,46.07,,4
House,IOWA,1968,19610505,60710,"Mahon, Don",Challenger,99586,"Smith, Neal",Incumbent,N/A,,N/A,N/A,,38876,D,0,37.87,62.13,,5
House,IOWA,1968,19610505,100802,"Mayne, Wiley",Incumbent,54171,"O'Sullivan, Jerry",Challenger,N/A,,N/A,N/A,,46631,R,0,65.04,34.96,,6
House,IOWA,1968,19610505,87212,"Scherle, William J.",Incumbent,46774,"Oshlo, Richard",Challenger,N/A,,N/A,N/A,,40438,R,0,65.09,34.91,,7
House,KANSAS,1968,19650316,87012,"Sebelius, Keith",Challenger,82102,"Meeker, George W.",Challenger,N/A,,N/A,N/A,2,4910,R,0,51.45,48.55,,1
House,KANSAS,1968,19650316,110768,"Mize, Chester L.",Incumbent,53151,"Swan, Robert A.",Challenger,N/A,,N/A,N/A,,57617,R,0,67.57,32.43,,2
House,KANSAS,1968,19650316,100877,"Winn, Larry",Challenger,59672,"George, Newell A.",Challenger,N/A,,N/A,N/A,,41205,R,0,62.83,37.17,,3
House,KANSAS,1968,19650316,101991,"Shriver, Garner E.",Incumbent,55621,"Kelly, Patrick F.",Challenger,N/A,,N/A,N/A,1,46370,R,0,64.71,35.29,,4
House,KANSAS,1968,19650316,107085,"Skubitz, Joe",Incumbent,59005,"Bramble, A. F.",Challenger,N/A,,N/A,N/A,,48080,R,0,64.47,35.53,,5
House,KENTUCKY,1968,19660321,,N/A,N/A,72072,"Stubblefield, Frank A.",Challenger,N/A,,N/A,N/A,,72072,D,0,0,100,,1
House,KENTUCKY,1968,19660321,50904,"Simmons, Robert D.",Challenger,65860,"Natcher, William H.",Incumbent,N/A,,N/A,N/A,,14956,D,0,43.6,56.4,,2
House,KENTUCKY,1968,19660321,70318,"Cowger, William O.",Incumbent,55366,"Ray, Tom",Challenger,N/A,,N/A,N/A,,14952,R,0,55.95,44.05,,3
House,KENTUCKY,1968,19660321,103793,"Snyder, M. G.",Incumbent,55971,"Sheehan, Gus",Challenger,N/A,,N/A,N/A,,47822,R,0,64.97,35.03,,4
House,KENTUCKY,1968,19660321,86391,"Carter, Tim Lee",Incumbent,30575,"Roberts, Thomas J.",Challenger,N/A,,N/A,N/A,1721,55816,R,0,73.86,26.14,,5
House,KENTUCKY,1968,19660321,58905,"Mobley, Russell G.",Challenger,78536,"Watts, John C.",Incumbent,N/A,,N/A,N/A,1535,19631,D,0,42.86,57.14,,6
House,KENTUCKY,1968,19660321,50699,"Nickell, James D.",Challenger,82594,"Perkins, Carl D.",Incumbent,N/A,,N/A,N/A,,31895,D,0,38.04,61.96,,7
House,LOUISIANA,1968,19670104,,N/A,N/A,70658,"Hebert, F. Edward",Incumbent,N/A,,N/A,N/A,,70658,D,0,0,100,,1
House,LOUISIANA,1968,19670104,77633,"Treen, David Conner",Challenger,81537,"Boggs, Hale",Incumbent,N/A,,N/A,N/A,,3904,D,0,48.77,51.23,,2
House,LOUISIANA,1968,19670104,,N/A,N/A,39215,"Caffery, Patrick T.",Challenger,N/A,,N/A,N/A,,39215,D,0,0,100,,3
House,LOUISIANA,1968,19670104,,N/A,N/A,63788,"Waggonner, Joe D. Jr.",Challenger,N/A,,N/A,N/A,,63788,D,0,0,100,,4
House,LOUISIANA,1968,19670104,,N/A,N/A,34901,"Passman, Otto E.",Incumbent,N/A,,N/A,N/A,,34901,D,0,0,100,,5
House,LOUISIANA,1968,19670104,26267,"Rockhold, Loyd",Challenger,100461,"Rarick, John R.",Incumbent,N/A,,N/A,N/A,,74194,D,0,20.73,79.27,,6
House,LOUISIANA,1968,19670104,14126,"Planche, Vance W.",Challenger,79709,"Edwards, Edwin W.",Incumbent,N/A,,N/A,N/A,,65583,D,0,15.05,84.95,,7
House,LOUISIANA,1968,19670104,,N/A,N/A,41086,"Long, Speedy O.",Incumbent,N/A,,N/A,N/A,,41086,D,0,0,100,,8
House,MAINE,1968,19610609,86949,"Hildreth, Horace A.",Challenger,113501,"Kyros, Peter N.",Incumbent,N/A,,N/A,N/A,,26552,D,0,43.38,56.62,,1
House,MAINE,1968,19610609,81398,"Shute, Elden H.",Challenger,102369,"Hathaway, William D.",Incumbent,N/A,,N/A,N/A,,20971,D,0,44.29,55.71,,2
House,MARYLAND,1968,19660503,87078,"Morton, Rogers C. B.",Incumbent,31250,"White, E. Homer",Challenger,N/A,,N/A,N/A,,55828,R,0,73.59,26.41,,1
