st,district,year,rep,dem,other,total
NJ,9,1956,155491,52408,,207899
NJ,10,1956,80863,47347,,128210
NJ,11,1956,73918,49031,,122949
NJ,12,1956,91631,59369,,151000
NJ,13,1956,72483,48724,,121207
NJ,14,1956,78591,39490,,118081
NM,1,1956,146788,106098,,252886
NM,2,1956,0,0,,0
NY,1,1956,221096,69436,,290532
NY,2,1956,162177,57438,,219615
NY,3,1956,156890,74051,,230941
NY,4,1956,129741,71043,,200784
NY,5,1956,105260,42785,,148045
NY,6,1956,119475,97538,,217013
NY,7,1956,105852,48564,,154416
NY,8,1956,47456,42696,,90152
NY,9,1956,58894,57459,,116353
NY,10,1956,49328,81687,,131015
NY,11,1956,48988,104921,,153909
NY,12,1956,84813,43317,,128130
NY,13,1956,57041,88574,,145615
NY,14,1956,62768,54826,,117594
NY,15,1956,128590,33370,,161960
NY,16,1956,31325,54424,,85749
NY,17,1956,82232,49627,,131859
NY,18,1956,44287,37825,,82112
NY,19,1956,58088,55163,,113251
NY,20,1956,51238,59704,,110942
NY,21,1956,52988,66630,,119618
NY,22,1956,46095,82109,,128204
NY,23,1956,30163,65901,,96064
NY,24,1956,68301,84040,,152341
NY,25,1956,112928,58067,,170995
NY,26,1956,147662,52472,,200134
NY,27,1956,137142,47421,,184563
NY,28,1956,124997,40358,,165355
NY,29,1956,138991,37770,,176761
NY,30,1956,110960,73401,,184361
NY,31,1956,129476,34952,,164428
NY,32,1956,119565,41906,,161471
NY,33,1956,110370,35566,,145936
NY,34,1956,120979,46108,,167087
NY,35,1956,137852,48416,,186268
NY,36,1956,123090,35853,,158943
NY,37,1956,146154,45708,,191862
NY,38,1956,129689,58751,,188440
NY,39,1956,119006,46695,,165701
NY,40,1956,124684,60308,,184992
NY,41,1956,97445,59569,,157014
NY,42,1956,132961,69747,,202708
NY,43,1956,101022,36439,,137461
NC,1,1956,13206,39422,,52628
NC,2,1956,11736,44498,,56234
NC,3,1956,23779,41292,,65071
NC,4,1956,42402,65023,,107425
NC,5,1956,56108,45597,,101705
NC,6,1956,62496,51555,,114051
NC,7,1956,30093,52226,,82319
NC,8,1956,57928,53867,,111795
NC,9,1956,79339,49359,,128698
NC,10,1956,90453,54526,,144979
NC,11,1956,48797,44863,,93660
NC,12,1956,58725,48302,,107027
ND,1,1956,156766,96742,,253508
ND,2,1956,0,0,,0
OH,1,1956,102212,53329,,155541
OH,2,1956,119693,60402,,180095
OH,3,1956,149063,100601,,249664
OH,4,1956,100430,46208,,146638
OH,5,1956,84541,36208,,120749
OH,6,1956,86883,56316,,143199
OH,7,1956,99884,51721,,151605
OH,8,1956,84070,34133,,118203
OH,9,1956,100501,88598,,189099
OH,10,1956,68710,37130,,105840
OH,11,1956,113364,70476,,183840
OH,12,1956,151544,78852,,230396
OH,13,1956,82328,43155,,125483
OH,14,1956,118027,99743,,217770
OH,15,1956,66183,31437,,97620
OH,16,1956,123012,69337,,192349
OH,17,1956,97392,44332,,141724
OH,18,1956,81535,60631,,142166
OH,19,1956,79660,72422,,152082
OH,20,1956,89900,88651,,178551
OH,21,1956,65578,94543,,160121
OH,22,1956,88064,69473,,157537
OH,23,1956,109932,51891,,161823
OK,1,1956,136387,70942,,207329
OK,2,1956,80430,66848,,147278
OK,3,1956,32840,52219,,85059
OK,4,1956,52537,49153,,101690
OK,5,1956,104794,76827,,181621
OK,6,1956,66781,69592,,136373
OR,1,1956,120823,84399,,205222
OR,2,1956,57667,48622,,106289
OR,3,1956,129658,115896,,245554
OR,4,1956,98245,80287,,178532
PA,1,1956,46544,72556,,119100
PA,2,1956,61765,93420,,155185
PA,3,1956,50108,69588,,119696
PA,4,1956,35105,76534,,111639
PA,5,1956,97885,104526,,202411
PA,6,1956,89580,107021,,196601
PA,7,1956,143663,82024,,225687
PA,8,1956,110426,67608,,178034
PA,9,1956,116251,46495,,162746
PA,10,1956,96869,67751,,164620
PA,11,1956,92458,65155,,157613
PA,12,1956,80253,48786,,129039
PA,13,1956,133270,59095,,192365
PA,14,1956,57258,42349,,99607
PA,15,1956,66606,48977,,115583
PA,16,1956,95667,45987,,141654
PA,17,1956,86507,41877,,128384
PA,18,1956,85540,45579,,131119
PA,19,1956,89894,58675,,148569
PA,20,1956,66554,37838,,104392
PA,21,1956,66580,72616,,139196
PA,22,1956,85021,65692,,150713
PA,23,1956,77558,32911,,110469
PA,24,1956,102102,62917,,165019
PA,25,1956,89538,69968,,159506
PA,26,1956,74884,96191,,171075
PA,27,1956,117626,73645,,191271
PA,28,1956,70115,85474,,155589
PA,29,1956,114146,62110,,176256
PA,30,1956,80510,93476,,173986
RI,1,1956,104093,76198,,180291
RI,2,1956,121726,85592,,207318
SC,1,1956,11980,9780,,21760
SC,2,1956,17912,18661,,36573
SC,3,1956,8323,28833,,37156
SC,4,1956,20203,35942,,56145
SC,5,1956,9864,24266,,34130
SC,6,1956,7418,18890,,26308
SD,1,1956,130802,96618,,227420
SD,2,1956,40767,25670,,66437
TN,1,1956,96339,40426,,136765
TN,2,1956,93538,56971,,150509
TN,3,1956,63203,49990,,113193
TN,4,1956,37531,63929,,101460
TN,5,1956,37077,56822,,93899
TN,6,1956,25410,58123,,83533
TN,7,1956,28182,30820,,59002
TN,8,1956,15318,37375,,52693
TN,9,1956,65690,62051,,127741
TX,1,1956,28878,29571,,58449
TX,2,1956,56019,49529,,105548
TX,3,1956,37718,25121,,62839
TX,4,1956,21543,27057,,48600
TX,5,1956,125361,65472,,190833
TX,6,1956,20295,25948,,46243
TX,7,1956,26366,22502,,48868
TX,8,1956,155555,93961,,249516
TX,9,1956,64413,46149,,110562
TX,10,1956,38956,37175,,76131
TX,11,1956,27314,35469,,62783
TX,12,1956,74687,52051,,126738
TX,13,1956,36589,37956,,74545
TX,14,1956,54906,49515,,104421
TX,15,1956,37352,34702,,72054
TX,16,1956,47619,33401,,81020
TX,17,1956,31069,27194,,58263
TX,18,1956,46088,40950,,87038
TX,19,1956,42090,54164,,96254
TX,20,1956,65901,46790,,112691
TX,21,1956,41900,25281,,67181
TX,22,1956,0,0,,0
UT,1,1956,79569,43846,,123415
UT,2,1956,136062,74518,,210580
VT,1,1956,110390,42549,,152939
VA,1,1956,34783,24555,,59338
VA,2,1956,30119,28151,,58270
VA,3,1956,46893,20052,,66945
VA,4,1956,23029,23522,,46551
VA,5,1956,30379,24492,,54871
VA,6,1956,52140,26622,,78762
VA,7,1956,36440,19255,,55695
VA,8,1956,32462,19856,,52318
VA,9,1956,47480,40264,,87744
VA,10,1956,52724,40991,,93715
WA,1,1956,131806,113158,,244964
WA,2,1956,110151,91066,,201217
WA,3,1956,78530,72392,,150922
WA,4,1956,91711,66881,,158592
WA,5,1956,88553,73216,,161769
WA,6,1956,112530,102520,,215050
WA,7,1956,0,0,,0
WV,1,1956,72961,60330,,133291
WV,2,1956,71881,52461,,124342
WV,3,1956,67558,58057,,125615
WV,4,1956,90727,61526,,152253
WV,5,1956,55671,60687,,116358
WV,6,1956,90699,88473,,179172
WI,1,1956,106125,62110,,168235
WI,2,1956,115213,70701,,185914
WI,3,1956,78470,45113,,123583
WI,4,1956,120379,90720,,211099
WI,5,1956,106874,86566,,193440
WI,6,1956,100473,44280,,144753
WI,7,1956,86995,43584,,130579
WI,8,1956,107626,47385,,155011
WI,9,1956,73079,50072,,123151
WI,10,1956,59620,46237,,105857
WY,1,1956,74573,49554,,124127
AL,1,1960,30765,40145,,70910
AL,2,1960,24339,37915,,62254
AL,3,1960,15686,28136,,43822
AL,4,1960,20694,29037,,49731
AL,5,1960,23703,45237,,68940
AL,6,1960,15497,19309,,34806
AL,7,1960,26860,32897,,59757
AL,8,1960,20433,46693,,67126
AL,9,1960,60004,44681,,104685
AK,1,1960,30953,29809,,60762
AZ,1,1960,127090,86834,,213924
AZ,2,1960,94151,89947,,184098
AR,1,1960,26381,30248,,56629
AR,2,1960,19095,24261,,43356
AR,3,1960,56001,39344,,95345
AR,4,1960,27755,42537,,70292
AR,5,1960,30634,38311,,68945
AR,6,1960,24642,40348,,64990
CA,1,1960,121961,106523,,228484
CA,2,1960,86528,92357,,178885
CA,3,1960,113577,137109,,250686
CA,4,1960,97282,101872,,199154
CA,5,1960,45719,95862,,141581
CA,6,1960,102055,120794,,222849
CA,7,1960,68908,77162,,146070
CA,8,1960,114064,139815,,253879
CA,9,1960,104570,97154,,201724
CA,10,1960,159649,137202,,296851
CA,11,1960,78654,73157,,151811
CA,12,1960,75789,95835,,171624
CA,13,1960,125169,105523,,230692
CA,14,1960,89247,85766,,175013
CA,15,1960,79750,98389,,178139
CA,16,1960,82446,65412,,147858
CA,17,1960,147075,160959,,308034
CA,18,1960,97721,85964,,183685
CA,19,1960,66417,126530,,192947
CA,20,1960,85737,42413,,128150
CA,21,1960,164909,138689,,303598
CA,22,1960,105833,98850,,204683
CA,23,1960,87600,121369,,208969
CA,24,1960,74154,64266,,138420
CA,25,1960,194271,145611,,339882
CA,26,1960,64930,144774,,209704
CA,27,1960,99481,90888,,190369
CA,28,1960,244758,160910,,405668
CA,29,1960,76461,59996,,136457
CA,30,1960,141625,116349,,257974
CO,1,1960,109446,109637,,219083
CO,2,1960,158081,108162,,266243
CO,3,1960,86415,76676,,163091
CO,4,1960,48300,36154,,84454
CT,1,1960,136459,195403,,331862
CT,2,1960,90681,97463,,188144
CT,3,1960,102403,125194,,227597
CT,4,1960,167778,146442,,314220
CT,5,1960,68492,92553,,161045
CT,6,1960,0,0,,0
FL,1,1960,159663,128086,,287749
FL,2,1960,61588,72819,,134407
FL,3,1960,51988,87543,,139531
FL,4,1960,137922,190086,,328008
FL,5,1960,135377,83911,,219288
FL,6,1960,146421,100687,,247108
FL,7,1960,76091,47190,,123281
FL,8,1960,26426,38378,,64804
GA,1,1960,30179,40474,,70653
GA,2,1960,13349,33426,,46775
GA,3,1960,20127,40721,,60848
GA,4,1960,15721,44377,,60098
GA,5,1960,78482,81684,,160166
GA,6,1960,19943,36775,,56718
GA,7,1960,36030,54849,,90879
GA,8,1960,17117,40099,,57216
GA,9,1960,23047,43255,,66302
GA,10,1960,20477,42978,,63455
HI,1,1960,92295,92410,,184705
ID,1,1960,58892,59503,,118395
ID,2,1960,102705,79350,,182055
IL,1,1960,23109,81399,,104508
IL,2,1960,52801,107457,,160258
IL,3,1960,79888,121402,,201290
IL,4,1960,166076,160947,,327023
IL,5,1960,55274,121114,,176388
IL,6,1960,45582,109805,,155387
IL,7,1960,25756,101635,,127391
IL,8,1960,44808,80602,,125410
IL,9,1960,63364,75836,,139200
IL,10,1960,127672,102006,,229678
IL,11,1960,95656,95613,,191269
IL,12,1960,85104,108218,,193322
IL,13,1960,262012,159228,,421240
IL,14,1960,182190,88201,,270391
IL,15,1960,105188,84494,,189682
IL,16,1960,117301,75335,,192636
IL,17,1960,110035,70350,,180385
IL,18,1960,90625,72892,,163517
IL,19,1960,92143,75275,,167418
IL,20,1960,80892,61647,,142539
IL,21,1960,101648,89236,,190884
IL,22,1960,95586,70571,,166157
IL,23,1960,92186,68643,,160829
IL,24,1960,85030,122154,,207184
IL,25,1960,88748,73764,,162512
IN,1,1960,78278,132554,,210832
IN,2,1960,104300,62933,,167233
IN,3,1960,114875,106344,,221219
IN,4,1960,106653,67061,,173714
IN,5,1960,122780,91312,,214092
IN,6,1960,95811,67352,,163163
IN,7,1960,93680,65746,,159426
IN,8,1960,104785,99960,,204745
IN,9,1960,80310,61046,,141356
IN,10,1960,107446,76714,,184160
IN,11,1960,166202,121336,,287538
IA,1,1960,101202,78108,,179310
IA,2,1960,113006,98544,,211550
IA,3,1960,104484,76488,,180972
IA,4,1960,67567,50836,,118403
IA,5,1960,101612,79374,,180986
IA,6,1960,75496,64687,,140183
IA,7,1960,73053,48693,,121746
IA,8,1960,85961,53835,,139796
KS,1,1960,89357,53897,,143254
KS,2,1960,115640,83599,,199239
KS,3,1960,59639,39275,,98914
KS,4,1960,141199,93318,,234517
KS,5,1960,87619,52643,,140262
KS,6,1960,68020,40481,,108501
KY,1,1960,53478,65416,,118894
KY,2,1960,67272,52958,,120230
KY,3,1960,118575,117180,,235755
KY,4,1960,54733,48356,,103089
KY,5,1960,66414,55694,,122108
KY,6,1960,78535,67292,,145827
KY,7,1960,75831,78568,,154399
KY,8,1960,87769,36391,,124160
LA,1,1960,28350,60315,,88665
LA,2,1960,40604,77645,,118249
LA,3,1960,22440,71056,,93496
LA,4,1960,36282,17626,,53908
LA,5,1960,27397,15629,,43026
LA,6,1960,30566,63651,,94217
LA,7,1960,23728,72633,,96361
LA,8,1960,21613,28784,,50397
ME,1,1960,91135,72640,,163775
ME,2,1960,76120,63607,,139727
ME,3,1960,73353,44912,,118265
MD,1,1960,43534,38722,,82256
MD,2,1960,119562,109452,,229014
MD,3,1960,20283,59208,,79491
MD,4,1960,38381,50644,,89025
MD,5,1960,94276,111025,,205301
MD,6,1960,119461,107625,,227086
MD,7,1960,54041,89132,,143173
MA,1,1960,66829,87955,,154784
MA,2,1960,69571,109800,,179371
MA,3,1960,62862,110806,,173668
MA,4,1960,83707,111156,,194863
MA,5,1960,98820,131096,,229916
MA,6,1960,84583,90369,,174952
MA,7,1960,39680,101842,,141522
MA,8,1960,74086,106360,,180446
MA,9,1960,95711,108462,,204173
MA,10,1960,75790,104032,,179822
MA,11,1960,25601,90044,,115645
MA,12,1960,22047,93837,,115884
MA,13,1960,94311,129777,,224088
MA,14,1960,83152,111638,,194790
MI,1,1960,16251,106068,,122319
MI,2,1960,112758,76593,,189351
MI,3,1960,108003,63537,,171540
MI,4,1960,97208,53990,,151198
MI,5,1960,128155,71930,,200085
MI,6,1960,139935,109710,,249645
MI,7,1960,132333,144397,,276730
MI,8,1960,95679,61313,,156992
MI,9,1960,78482,55986,,134468
MI,10,1960,76451,50742,,127193
MI,11,1960,56607,46766,,103373
MI,12,1960,38306,43447,,81753
MI,13,1960,29780,81808,,111588
MI,14,1960,83667,134783,,218450
MI,15,1960,33325,112506,,145831
MI,16,1960,119344,210442,,329786
MI,17,1960,112118,127720,,239838
MI,18,1960,162026,135531,,297557
MN,1,1960,96364,69783,,166147
MN,2,1960,93561,77183,,170744
MN,3,1960,150829,157224,,308053
MN,4,1960,77408,108464,,185872
MN,5,1960,80368,68726,,149094
MN,6,1960,72073,74936,,147009
MN,7,1960,72240,67465,,139705
MN,8,1960,57166,96723,,153889
MN,9,1960,57906,59429,,117335
MS,1,1960,11739,23320,,35059
MS,2,1960,6181,11876,,18057
MS,3,1960,8590,10289,,18879
MS,4,1960,20052,16046,,36098
MS,5,1960,8260,16011,,24271
MS,6,1960,18739,30820,,49559
MO,1,1960,84001,150032,,234033
MO,2,1960,133441,133828,,267269
MO,3,1960,39453,83531,,122984
MO,4,1960,111164,101388,,212552
MO,5,1960,54460,72576,,127036
MO,6,1960,94525,81408,,175933
MO,7,1960,129106,69410,,198516
MO,8,1960,75116,64651,,139767
MO,9,1960,95353,88152,,183505
MO,10,1960,59844,56995,,116839
MO,11,1960,83330,68794,,152124
MT,1,1960,58770,59689,,118459
MT,2,1960,83071,75202,,158273
NE,1,1960,108890,60225,,169115
NE,2,1960,90012,74873,,164885
NE,3,1960,88662,48262,,136924
NE,4,1960,92989,49182,,142171
NV,1,1960,52387,54880,,107267
NH,1,1960,84612,76569,,161181
NH,2,1960,73377,61203,,134580
NJ,1,1960,130732,144229,,274961
NJ,2,1960,76517,69465,,145982
NJ,3,1960,145189,127297,,272486
NJ,4,1960,89036,113487,,202523
NJ,5,1960,161887,142532,,304419
NJ,6,1960,123224,119986,,243210
NJ,7,1960,159936,101276,,261212
NJ,8,1960,77059,88916,,165975
NJ,9,1960,130384,98420,,228804
NJ,10,1960,53178,77570,,130748
NJ,11,1960,50005,73785,,123790
NJ,12,1960,73975,82348,,156323
NJ,13,1960,42099,80208,,122307
NJ,14,1960,49520,65079,,114599
NM,1,1960,153733,156027,,309760
NM,2,1960,153733,156027,,309760
NY,1,1960,216655,163362,,380017
NY,2,1960,139086,96638,,235724
NY,3,1960,135158,117336,,252494
NY,4,1960,104887,114675,,219562
NY,5,1960,80598,76750,,157348
NY,6,1960,97367,149783,,247150
NY,7,1960,76060,83338,,159398
NY,8,1960,27865,57237,,85102
NY,9,1960,39810,82330,,122140
NY,10,1960,36140,97492,,133632
NY,11,1960,39889,135159,,175048
NY,12,1960,61680,71082,,132762
NY,13,1960,43092,115854,,158946
NY,14,1960,40461,77744,,118205
NY,15,1960,97692,70168,,167860
NY,16,1960,19902,69080,,88982
NY,17,1960,69521,66819,,136340
NY,18,1960,30904,53636,,84540
NY,19,1960,28911,68446,,97357
NY,20,1960,32707,69463,,102170
NY,21,1960,35326,87457,,122783
NY,22,1960,29958,96295,,126253
NY,23,1960,19230,72672,,91902
NY,24,1960,47837,115651,,163488
NY,25,1960,85368,105200,,190568
NY,26,1960,111329,82672,,194001
NY,27,1960,125179,96760,,221939
NY,28,1960,111833,75797,,187630
NY,29,1960,117942,72389,,190331
NY,30,1960,78560,110327,,188887
NY,31,1960,100380,71662,,172042
NY,32,1960,89062,72082,,161144
NY,33,1960,90168,64776,,154944
NY,34,1960,93516,86778,,180294
NY,35,1960,107170,90836,,198006
NY,36,1960,104824,60164,,164988
NY,37,1960,125146,75114,,200260
NY,38,1960,109956,92051,,202007
NY,39,1960,95618,80169,,175787
NY,40,1960,97836,107281,,205117
NY,41,1960,60817,93449,,154266
NY,42,1960,103305,128153,,231458
NY,43,1960,87674,55985,,143659
NC,1,1960,14769,45355,,60124
NC,2,1960,13817,47592,,61409
NC,3,1960,29670,47104,,76774
NC,4,1960,52192,71297,,123489
NC,5,1960,62733,59996,,122729
NC,6,1960,75728,70563,,146291
NC,7,1960,35152,63411,,98563
NC,8,1960,66683,65433,,132116
NC,9,1960,84118,61547,,145665
NC,10,1960,96133,71817,,167950
NC,11,1960,55210,54710,,109920
NC,12,1960,69215,54311,,123526
ND,1,1960,154310,123963,,278273
ND,2,1960,154310,123963,,278273
OH,1,1960,92084,75426,,167510
OH,2,1960,118935,100752,,219687
OH,3,1960,156120,131103,,287223
OH,4,1960,100692,60555,,161247
OH,5,1960,86850,47047,,133897
OH,6,1960,94643,65037,,159680
OH,7,1960,108745,65686,,174431
OH,8,1960,84784,44550,,129334
OH,9,1960,94679,102825,,197504
OH,10,1960,72505,43933,,116438
OH,11,1960,113086,107111,,220197
OH,12,1960,161178,110283,,271461
OH,13,1960,81280,70146,,151426
OH,14,1960,125189,120648,,245837
OH,15,1960,66250,39836,,106086
OH,16,1960,124791,92799,,217590
OH,17,1960,102529,57928,,160457
OH,18,1960,79032,77926,,156958
OH,19,1960,65935,101548,,167483
OH,20,1960,60127,118805,,178932
OH,21,1960,37655,127321,,164976
OH,22,1960,71923,94613,,166536
OH,23,1960,110351,88291,,198642
OK,1,1960,143549,78000,,221549
OK,2,1960,87004,63552,,150556
OK,3,1960,38127,44276,,82403
OK,4,1960,56812,41245,,98057
OK,5,1960,125653,82439,,208092
OK,6,1960,81894,60599,,142493
OR,1,1960,127616,99120,,226736
OR,2,1960,55559,51446,,107005
OR,3,1960,127271,124273,,251544
OR,4,1960,97614,92563,,190177
PA,1,1960,27241,89082,,116323
PA,2,1960,43682,110072,,153754
PA,3,1960,35467,81152,,116619
PA,4,1960,23268,86363,,109631
PA,5,1960,89166,144568,,233734
PA,6,1960,72176,111307,,183483
PA,7,1960,135672,124629,,260301
PA,8,1960,121779,96817,,218596
PA,9,1960,131449,63400,,194849
PA,10,1960,81193,96156,,177349
PA,11,1960,70711,102998,,173709
PA,12,1960,71755,66663,,138418
