year,termed,no_election,termyear,inc_yrs,initials,incumbent,inc_party,popvote
1875,NA,NA,7,7,USG,Grant,Republican,NA
1876,NA,22,8,8,USG,Grant,Republican,0.485000014
1877,NA,NA,1,9,Hays,Hayes,Republican,NA
1878,NA,NA,2,10,Hays,Hayes,Republican,NA
1879,NA,NA,3,11,Hays,Hayes,Republican,NA
1880,NA,23,4,12,Hays,Hayes,Republican,0.5
1881,NA,NA,1,13,Garf,Garfield,Republican,NA
1882,NA,NA,2,14,Arth,Arthur,Republican,NA
1883,NA,NA,3,15,Arth,Arthur,Republican,NA
1884,NA,24,4,16,Arth,Arthur,Republican,0.497000009
1885,NA,NA,1,1,Cle,Cleveland,Democrat,NA
1886,NA,NA,2,2,Cle,Cleveland,Democrat,NA
1887,NA,NA,3,3,Cle,Cleveland,Democrat,NA
1888,NA,25,4,4,Cle,Cleveland,Democrat,0.504000008
1889,NA,NA,1,1,BHar,Harrison,Republican,NA
1890,NA,NA,2,2,BHar,Harrison,Republican,NA
1891,NA,NA,3,3,BHar,Harrison,Republican,NA
1892,NA,26,4,4,BHar,Harrison,Republican,0.481999993
1893,NA,NA,1,1,Cle,Cleveland,Democrat,NA
1894,NA,NA,2,2,Cle,Cleveland,Democrat,NA
1895,NA,NA,3,3,Cle,Cleveland,Democrat,NA
1896,NA,27,4,4,Cle,Cleveland,Democrat,0.477999985
1897,NA,NA,1,1,McK,McKinley,Republican,NA
1898,NA,NA,2,2,McK,McKinley,Republican,NA
1899,NA,NA,3,3,McK,McKinley,Republican,NA
1900,NA,28,4,4,McK,McKinley,Republican,0.532000005
1901,NA,NA,5,5,McK,McKinley,Republican,NA
1902,NA,NA,2,6,TR,T.Roosevelt,Republican,NA
1903,NA,NA,3,7,TR,T.Roosevelt,Republican,NA
1904,NA,29,4,8,TR,T.Roosevelt,Republican,0.600000024
1905,NA,NA,5,9,TR,T.Roosevelt,Republican,NA
1906,NA,NA,6,10,TR,T.Roosevelt,Republican,NA
1907,NA,NA,7,11,TR,T.Roosevelt,Republican,NA
1908,NA,30,8,12,TR,T.Roosevelt,Republican,0.545000017
1909,NA,NA,1,13,Taft,Taft,Republican,NA
1910,NA,NA,2,14,Taft,Taft,Republican,NA
1911,NA,NA,3,15,Taft,Taft,Republican,NA
1912,NA,31,4,16,Taft,Taft,Republican,0.546999991
1913,NA,NA,1,1,Wil,Wilson,Democrat,NA
