"","year","state","dem","rep","lib","green","other","totalvotes"
"443",2008,"North Dakota",141278,168601,1354,NA,5388,316621
"444",2008,"Ohio",2940044,2677820,19917,8518,61542,5707841
"445",2008,"Oklahoma",502496,960165,NA,NA,NA,1462661
"446",2008,"Oregon",1037291,738475,7635,4543,39920,1827864
"447",2008,"Pennsylvania",3276363,2655885,19912,NA,51157,6003317
"448",2008,"Rhode Island",296571,165391,1382,797,5626,469767
"449",2008,"South Carolina",862449,1034896,7283,4461,11880,1920969
"450",2008,"South Dakota",170924,203054,1835,NA,6162,381975
"451",2008,"Tennessee",1087437,1479178,NA,NA,33134,2599749
"452",2008,"Texas",3528633,4479328,56116,NA,NA,8064077
"453",2008,"Utah",327670,596030,6966,982,20690,952338
"454",2008,"Vermont",219262,98974,1067,NA,4279,323582
"455",2008,"Virginia",1959532,1725005,11067,2344,18957,3716905
"456",2008,"Washington",1750848,1229216,12728,3819,40267,3036878
"457",2008,"West Virginia",303857,397466,NA,NA,12039,713362
"458",2008,"Wisconsin",1677211,1262393,8858,4216,30739,2983417
"459",2008,"Wyoming",82868,164958,1594,NA,3963,253383
"460",2012,"Alabama",795696,1255925,NA,NA,18706,2070327
"461",2012,"Alaska",122640,164676,7392,2917,NA,297625
"462",2012,"Arizona",1025232,1233654,32100,7816,NA,2298802
"463",2012,"Arkansas",394409,647744,16276,9305,1734,1069468
"464",2012,"California",7854285,4839958,143221,85638,92196,13015298
"465",2012,"Colorado",1323101,1185243,35545,7508,18119,2569516
"466",2012,"Connecticut",905083,634892,12340,NA,4971,1557286
"467",2012,"Delaware",242584,165484,3882,1940,NA,413890
"468",2012,"District of Columbia",267070,21381,2083,NA,2458,292992
"469",2012,"Florida",4237756,4163447,44726,8947,19258,8474134
"470",2012,"Georgia",1773827,2078688,45324,NA,NA,3897839
"471",2012,"Hawaii",306658,121015,3840,3184,2462,437159
"472",2012,"Idaho",212787,420911,9453,NA,9123,652274
"473",2012,"Illinois",3019512,2135216,56229,30222,NA,5241179
"474",2012,"Indiana",1152887,1420543,50111,NA,NA,2623541
"475",2012,"Iowa",822544,730617,12926,3769,4882,1574738
"476",2012,"Kansas",440726,692634,20456,NA,5017,1158833
"477",2012,"Kentucky",679370,1087190,17063,6337,6872,1796832
"478",2012,"Louisiana",809141,1152262,18157,6978,7527,1994065
"479",2012,"Maine",401306,292276,9352,8119,11578,722631
"480",2012,"Maryland",1677844,971869,30195,17110,NA,2697018
"481",2012,"Massachusetts",1921290,1188314,30920,NA,43672,3184196
"482",2012,"Michigan",2564569,2115256,NA,21897,21266,4722988
"483",2012,"Minnesota",NA,1320225,35098,13023,1557574,2925920
"484",2012,"Mississippi",562949,710746,6676,1588,3625,1285584
"485",2012,"Missouri",1223796,1482440,43151,NA,7936,2757323
"486",2012,"Montana",201839,267928,14165,NA,NA,483932
"487",2012,"Nebraska",302081,475064,11109,NA,2408,790662
"488",2012,"Nevada",531373,463567,10968,NA,9010,1014918
"489",2012,"New Hampshire",369561,329918,8212,NA,1583,709274
"490",2012,"New Jersey",2122786,1478088,21035,9886,6704,3638499
"491",2012,"New Mexico",415335,335788,27788,2691,2156,783758
"492",2012,"New York",4324228,2223397,47092,39856,481868,7116441
"493",2012,"North Carolina",2178391,2270395,44515,NA,NA,4493301
"494",2012,"North Dakota",124966,188320,5238,1362,1186,321072
"495",2012,"Ohio",2827621,2661407,49493,18574,23620,5580715
"496",2012,"Oklahoma",443547,891325,NA,NA,NA,1334872
"497",2012,"Oregon",970488,754175,24089,NA,40518,1789270
"498",2012,"Pennsylvania",2990274,2680434,49991,21341,NA,5742040
"499",2012,"Rhode Island",279677,157204,4388,2421,978,444668
"500",2012,"South Carolina",865941,1071645,16321,5446,4765,1964118
"501",2012,"South Dakota",145039,210610,5795,NA,2371,363815
"502",2012,"Tennessee",960709,1462330,NA,6515,29023,2458577
"503",2012,"Texas",3308124,4569843,88580,24657,NA,7991204
"504",2012,"Utah",251813,740600,12572,3817,8599,1017401
"505",2012,"Vermont",199239,92698,3487,NA,1823,297247
"506",2012,"Virginia",1971820,1822522,31216,8627,13058,3847243
"507",2012,"Washington",1755396,1290670,42202,20928,16320,3125516
"508",2012,"West Virginia",238269,417655,6302,NA,8212,670438
"509",2012,"Wisconsin",1620985,1410966,NA,NA,39483,3071434
"510",2012,"Wyoming",69286,170962,5326,NA,3092,248666
"511",2016,"Alabama",729547,1318255,44467,9391,NA,2101660
"512",2016,"Alaska",116454,163387,18725,5735,5106,309407
"513",2016,"Arizona",1161167,1252401,106327,34345,NA,2554240
"514",2016,"Arkansas",380494,684872,29829,9473,25967,1130635
"515",2016,"California",8753788,4483810,478500,278657,66101,14060856
"516",2016,"Colorado",1338870,1202484,144121,38437,56308,2780220
"517",2016,"Connecticut",897572,673215,48676,22841,NA,1642304
"518",2016,"Delaware",235603,185127,14757,6103,NA,441590
"519",2016,"District of Columbia",282830,12723,4906,4258,1307,306024
"520",2016,"Florida",4504975,4617886,207043,64399,25583,9419886
"521",2016,"Georgia",1877963,2089104,125306,NA,NA,4092373
"522",2016,"Hawaii",266891,128847,15954,12737,13235,437664
"523",2016,"Idaho",189765,409055,28331,NA,63104,690255
"524",2016,"Illinois",3090729,2146015,209596,76802,NA,5523142
"525",2016,"Indiana",1033126,1557286,133993,NA,NA,2724405
"526",2016,"Iowa",653669,800983,59186,11479,22517,1547834
"527",2016,"Kansas",427005,671018,55406,NA,23506,1176935
"528",2016,"Kentucky",628854,1202971,53752,13913,23908,1923398
"529",2016,"Louisiana",780154,1178638,37978,14031,18231,2029032
"530",2016,"Maine",357735,335593,38105,14251,26208,771892
"531",2016,"Maryland",1677928,943169,79605,35945,NA,2736647
"532",2016,"Massachusetts",1995196,1090893,138018,47661,104263,3376031
"533",2016,"Michigan",2268839,2279543,172136,51463,18348,4790329
"534",2016,"Minnesota",1367705,1322949,112972,36986,76923,2917535
"535",2016,"Mississippi",485131,700714,14435,3731,5346,1209357
"536",2016,"Missouri",1071068,1594511,97359,25419,13092,2801449
"537",2016,"Montana",177709,279240,28037,7970,1570,494526
"538",2016,"Nebraska",284494,495961,38946,NA,8775,828176
"539",2016,"Nevada",539260,512058,37384,NA,36683,1125385
"540",2016,"New Hampshire",348526,345790,30777,6496,678,732267
"541",2016,"New Jersey",2148278,1601933,72477,37772,13586,3874046
"542",2016,"New Mexico",385234,319667,74541,9879,8998,798319
"543",2016,"New York",4379789,2527142,57442,107934,716961,7789268
"544",2016,"North Carolina",2189316,2362631,130126,NA,NA,4682073
"545",2016,"North Dakota",93758,216794,21434,3780,2197,337963
"546",2016,"Ohio",2394164,2841005,NA,46271,198733,5480173
"547",2016,"Oklahoma",420375,949136,83481,NA,NA,1452992
"548",2016,"Oregon",1002106,782403,94231,50002,72594,2001336
"549",2016,"Pennsylvania",2926441,2970733,146715,49941,21572,6115402
"550",2016,"Rhode Island",252525,180543,14746,6220,671,454705
"551",2016,"South Carolina",855373,1155389,49204,13034,30027,2103027
"552",2016,"South Dakota",117458,227721,20850,NA,4064,370093
"553",2016,"Tennessee",870695,1522925,NA,NA,100618,2494238
"554",2016,"Texas",3877868,4685047,283492,71558,NA,8917965
"555",2016,"Utah",310674,515211,39608,NA,265824,1131317
"556",2016,"Vermont",178573,95369,10078,6758,6790,297568
"557",2016,"Virginia",1981473,1769443,118274,27638,54054,3950882
"558",2016,"Washington",1742718,1221747,160879,58417,25453,3209214
"559",2016,"West Virginia",188794,489371,23004,8075,3807,713051
"560",2016,"Wisconsin",1382536,1405284,106674,31072,38198,2963764
"561",2016,"Wyoming",55973,174419,13287,NA,8205,251884
