"state","cty","countyfips","Obama","Romney","pctObama","diff2012"
"CA","Orange","06059",457077,541592,0.457686180305987,-84515
"CA","Placer","06061",49126,74460,0.397504571715243,-25334
"CA","Plumas","06063",3670,5240,0.411896745230079,-1570
"CA","Riverside","06065",287754,290227,0.497860656319152,-2473
"CA","Sacramento","06067",251365,177523,0.586085411575983,73842
"CA","San Benito","06069",8617,6052,0.58742927261572,2565
"CA","San Bernardino","06071",274203,245468,0.5276472999263,28735
"CA","San Diego","06073",502937,453166,0.526028053462859,49771
"CA","San Francisco","06075",281226,44877,0.862383970708641,236349
"CA","San Joaquin","06077",98746,78794,0.556190154331418,19952
"CA","San Luis Obispo","06079",57655,56500,0.505058911129604,1155
"CA","San Mateo","06081",151036,56244,0.728656889231957,94792
"CA","Santa Barbara","06083",84279,59096,0.587822144725371,25183
"CA","Santa Clara","06085",343239,136347,0.715698539990742,206892
"CA","Santa Cruz","06087",61106,17132,0.781027122370204,43974
"CA","Shasta","06089",24199,45158,0.348904941101835,-20959
"CA","Sierra","06091",652,1056,0.381733021077283,-404
"CA","Siskiyou","06093",7110,9844,0.419370060162793,-2734
"CA","Solano","06095",87225,48364,0.643304397849383,38861
"CA","Sonoma","06097",124504,45666,0.731644825762473,78838
"CA","Stanislaus","06099",70609,69549,0.503781446653063,1060
"CA","Sutter","06101",8004,12576,0.388921282798834,-4572
"CA","Tehama","06103",6032,10791,0.358556737799441,-4759
"CA","Trinity","06105",2367,2422,0.494257673835874,-55
"CA","Tulare","06107",29191,42186,0.40896927581714,-12995
"CA","Tuolumne","06109",9628,13410,0.417918222067888,-3782
"CA","Ventura","06111",148006,131782,0.528993380702532,16224
"CA","Yolo","06113",38856,19080,0.670671085335543,19776
"CA","Yuba","06115",5817,8746,0.399436929204147,-2929
"CO","Adams","08001",90843,66531,0.577242746578215,24312
"CO","Alamosa","08003",3782,2693,0.584092664092664,1089
"CO","Arapahoe","08005",135433,114232,0.542458894919192,21201
"CO","Archuleta","08007",2637,3831,0.407699443413729,-1194
"CO","Baca","08009",462,1554,0.229166666666667,-1092
"CO","Bent","08011",778,1053,0.424904423812125,-275
"CO","Boulder","08013",120485,48526,0.712882593440664,71959
"CO","Broomfield","08014",16653,14765,0.530046470176332,1888
"CO","Chaffee","08015",4967,4949,0.500907624041952,18
"CO","Cheyenne","08017",162,858,0.158823529411765,-696
"CO","Clear Creek","08019",3041,2381,0.560863150129104,660
"CO","Conejos","08021",2180,1794,0.548565676899849,386
"CO","Costilla","08023",1317,440,0.749573136027319,877
"CO","Crowley","08025",535,924,0.366689513365319,-389
"CO","Custer","08027",862,1776,0.326762699014405,-914
"CO","Delta","08029",4542,10762,0.29678515420805,-6220
"CO","Denver","08031",209759,69755,0.750441838333679,140004
"CO","Dolores","08033",329,838,0.281919451585261,-509
"CO","Douglas","08035",54093,93930,0.365436452443201,-39837
"CO","Eagle","08037",12598,9317,0.574857403604837,3281
"CO","El Paso","08041",104989,163819,0.390572453200798,-58830
"CO","Elbert","08039",3542,10148,0.25872899926954,-6606
"CO","Fremont","08043",6644,13087,0.336729005118849,-6443
"CO","Garfield","08045",10989,12159,0.474727838258165,-1170
"CO","Gilpin","08047",1854,1320,0.584120982986768,534
"CO","Grand","08049",3575,4149,0.462843086483687,-574
"CO","Gunnison","08051",4563,3106,0.594992828269657,1457
"CO","Hinsdale","08053",228,352,0.393103448275862,-124
"CO","Huerfano","08055",1897,1615,0.540148063781321,282
"CO","Jackson","08057",216,600,0.264705882352941,-384
"CO","Jefferson","08059",153069,139960,0.522368093260394,13109
"CO","Kiowa","08061",118,677,0.148427672955975,-559
"CO","Kit Carson","08063",789,2664,0.228496959165943,-1875
"CO","La Plata","08067",15063,12554,0.545424919433682,2509
"CO","Lake","08065",1807,1087,0.624395300621976,720
